"G1","G2","failures","studytime","absences","Medu","Fedu","freetime","goout","Dalc","Walc","school","sex","age","address","famsize","Pstatus","Mjob","Fjob","reason","guardian","traveltime","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","health","G3"
5,6,0,2,6,4,4,3,4,1,1,"GP","F",18,"U","GT3","A","at_home","teacher","course","mother",2,"yes","no","no","no","yes","yes","no","no",4,3,6
5,5,0,2,4,1,1,3,3,1,1,"GP","F",17,"U","GT3","T","at_home","other","course","father",1,"no","yes","no","no","no","yes","yes","no",5,3,6
7,8,3,2,10,1,1,3,2,2,3,"GP","F",15,"U","LE3","T","at_home","other","other","mother",1,"yes","no","yes","no","yes","yes","yes","no",4,3,10
15,14,0,3,2,4,2,2,2,1,1,"GP","F",15,"U","GT3","T","health","services","home","mother",1,"no","yes","yes","yes","yes","yes","yes","yes",3,5,15
6,10,0,2,4,3,3,3,2,1,2,"GP","F",16,"U","GT3","T","other","other","home","father",1,"no","yes","yes","no","yes","yes","no","no",4,5,10
NA,15,0,2,10,4,3,4,2,1,2,"GP","M",16,"U","LE3","T","services","other","reputation","mother",1,"no","yes","yes","yes","yes","yes","yes","no",5,5,15
12,12,0,2,0,2,2,4,4,1,1,"GP","M",16,"U","LE3","T","other","other","home","mother",1,"no","no","no","no","yes","yes","yes","no",4,3,11
6,5,0,2,6,4,4,1,4,1,1,"GP","F",17,"U","GT3","A","other","teacher","home","mother",2,"yes","yes","no","no","yes","yes","no","no",4,1,6
16,18,0,2,0,3,2,2,2,1,1,"GP","M",15,"U","LE3","A","services","other","home","mother",1,"no","yes","yes","no","yes","yes","yes","no",4,1,19
14,15,0,2,0,3,4,5,1,1,1,"GP","M",15,"U","GT3","T","other","other","home","mother",1,"no","yes","yes","yes","yes","yes","yes","no",5,5,15
10,8,0,2,0,4,4,NA,3,1,2,"GP","F",15,"U","GT3","T","teacher","health","reputation","mother",1,"no","yes","yes","no","yes","yes","yes","no",3,2,9
10,12,0,3,4,2,1,2,2,1,1,"GP","F",15,"U","GT3","T","services","other","reputation","father",3,"no","yes","no","yes","yes","yes","yes","no",5,4,12
14,14,0,1,2,4,4,3,3,1,NA,"GP","M",15,"U","LE3","T","health","services","course","father",1,"no","yes","yes","yes","yes","yes","yes","no",4,5,14
10,10,0,2,2,4,3,4,3,1,2,"GP","M",15,"U","GT3","T","teacher","other","course","mother",2,"no","yes","yes","no","yes","yes","yes","no",5,3,11
14,16,0,3,0,2,2,5,2,1,1,"GP","M",15,"U","GT3","A","other","other","home","other",1,"no","yes","no","no","yes","yes","yes","yes",4,3,16
14,14,0,1,4,4,4,4,4,1,2,"GP","F",16,"U","GT3","T","health","other","home","mother",1,"no","yes","no","no","yes","yes","yes","no",4,2,14
13,14,0,NA,6,4,4,2,3,1,2,"GP","F",16,"U","GT3","T","services","services","reputation","mother",1,"no","yes","yes","yes","yes","yes","yes","no",3,2,14
8,10,0,2,4,3,3,3,2,1,1,"GP","F",16,"U","GT3","T","other","other","reputation","mother",3,"yes","yes","no","yes","yes","yes","no","no",5,4,10
6,5,3,1,16,3,2,5,5,2,4,"GP","M",17,"U","GT3","T","services","services","course","mother",1,"no","yes","no","yes","yes","yes","yes","no",5,5,5
8,10,0,1,4,4,3,1,3,1,3,"GP","M",16,"U","LE3","T","health","other","home","father",1,"no","no","yes","yes","yes","yes","yes","no",3,5,10
13,NA,0,2,0,4,3,4,1,1,1,"GP","M",15,"U","GT3","T","teacher","other","reputation","mother",1,"no","no","no","no","yes","yes","yes","no",4,1,15
12,15,0,1,0,4,4,4,2,1,1,"GP","M",15,"U","GT3","T","health","health","other","father",1,"no","yes","yes","no","yes","yes","yes","no",5,5,15
15,15,0,2,2,NA,2,5,1,1,3,"GP","M",16,"U","LE3","T","teacher","other","course","mother",1,"no","no","no","yes","yes","yes","yes","no",4,5,16
13,13,0,NA,0,2,2,4,4,2,4,"GP","M",16,"U","LE3","T","other","other","reputation","mother",2,"no","yes","no","yes","yes","yes","yes","no",5,5,12
10,9,0,3,2,2,4,3,2,1,1,"GP","F",15,"R","GT3","T","services","health","course","mother",1,"yes","yes","yes","yes","yes","yes","yes","no",4,5,8
6,9,2,1,14,2,2,2,2,1,3,"GP","F",16,"U","GT3","T","services","services","home","mother",1,"no","yes","yes","no","no","yes","yes","no",1,5,8
12,12,0,1,2,2,2,2,2,1,2,"GP","M",15,"U","GT3","T","other","other","home","mother",1,"no","yes","yes","no","yes","yes","yes","no",4,5,11
15,16,0,1,4,4,2,2,4,2,NA,"GP","M",15,"U","GT3","T","health","services","other","mother",1,"no","no","yes","no","yes","yes","yes","no",2,1,15
11,11,0,2,4,3,4,3,3,1,1,"GP","M",16,"U","LE3","A","services","other","home","mother",1,"yes","yes","no","yes","yes","yes","yes","no",5,5,11
10,12,0,2,NA,4,4,4,5,5,5,"GP","M",16,"U","GT3","T","teacher","teacher","home","mother",1,"no","yes","yes","yes","yes","yes","yes","yes",4,5,11
9,11,0,2,0,4,4,4,2,3,4,"GP","M",15,"U","GT3","T","health","services","home","mother",1,"no","yes","yes","no","no","yes","yes","no",5,5,12
17,16,0,2,0,4,4,3,1,1,1,"GP","M",15,"U","GT3","T","services","services","reputation","mother",2,"no","yes","no","yes","yes","yes","yes","no",4,5,17
17,16,0,2,0,4,3,5,2,NA,1,"GP","M",15,"R","GT3","T","teacher","at_home","course","mother",1,"no","yes","no","yes","yes","yes","yes","yes",4,5,16
8,10,0,2,0,3,3,3,2,1,1,"GP","M",15,"U","LE3","T","other","other","course","mother",1,"no","no","no","yes","no","yes","yes","no",5,2,12
12,14,0,1,0,3,NA,4,3,1,1,"GP","M",16,"U","GT3","T","other","other","home","mother",1,"no","yes","yes","no","no","yes","yes","no",5,5,15
8,7,0,1,0,2,3,5,1,1,1,"GP","F",15,"U","GT3","T","other","other","other","father",2,"no","yes","no","yes","yes","yes","no","no",3,5,6
15,16,0,3,2,4,3,4,3,1,1,"GP","M",15,"U","LE3","T","teacher","services","home","mother",1,"no","yes","no","yes","yes","yes","yes","no",5,4,18
15,16,0,3,7,4,4,4,3,NA,1,"GP","M",16,"R","GT3","A","other","teacher","reputation","mother",2,"no","yes","no","yes","yes","yes","yes","yes",2,5,15
12,12,0,3,2,3,4,3,2,1,1,"GP","F",15,"R","GT3","T","services","health","course","mother",1,"yes","yes","yes","yes","yes","yes","yes","no",4,5,11
14,13,0,1,8,2,2,3,1,1,1,"GP","F",15,"R","GT3","T","at_home","other","reputation","mother",1,"yes","yes","yes","yes","yes","yes","no","no",4,2,13
7,10,1,2,25,2,2,3,3,1,2,"GP","F",16,"U","LE3","T","other","other","home","mother",2,"no","yes","no","yes","no","yes","yes","yes",3,3,11
NA,12,0,1,8,4,4,4,3,2,4,"GP","M",15,"U","LE3","T","teacher","other","home","other",1,"no","yes","no","no","no","yes","yes","yes",5,5,12
