id,timestamp,answer
1,1/29/2025 14:15:29,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
2,1/29/2025 14:59:52,"ฮิสโทแกรม (histogram), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ค่าต่ำสุดและค่าสูงสุด"
3,1/29/2025 17:21:43,"ฮิสโทแกรม (histogram), แผนภูมิวงกลม (pie chart)"
4,1/29/2025 18:14:42,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), แผนภูมิวงกลม (pie chart), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
5,1/29/2025 21:55:58,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
6,1/29/2025 23:46:21,"ฮิสโทแกรม (histogram), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
7,1/30/2025 15:26:45,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าต่ำสุดและค่าสูงสุด"
8,1/30/2025 15:33:44,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), แผนภูมิวงกลม (pie chart), ค่าเฉลี่ย และ/หรือ มัธยฐาน"
9,1/30/2025 19:49:43,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot)"
10,1/30/2025 22:45:33,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), แผนภูมิวงกลม (pie chart), ค่าเฉลี่ย และ/หรือ มัธยฐาน"
11,1/31/2025 11:10:06,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), แผนภูมิวงกลม (pie chart), ค่าเฉลี่ย และ/หรือ มัธยฐาน"
12,1/31/2025 12:07:00,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), แผนภูมิวงกลม (pie chart), ค่าเฉลี่ย และ/หรือ มัธยฐาน"
13,1/31/2025 13:00:20,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot)"
14,1/31/2025 13:06:19,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน"
15,1/31/2025 17:26:10,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
16,1/31/2025 18:33:22,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
17,1/31/2025 18:35:42,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
18,1/31/2025 21:01:34,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
19,1/31/2025 22:38:21,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
20,1/31/2025 23:30:00,"ฮิสโทแกรม (histogram), แผนภาพการกระจาย (scatter plot)"
21,2/1/2025 09:09,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
22,2/1/2025 09:52,"แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
23,2/1/2025 10:19,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
24,2/1/2025 10:47,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน"
25,2/1/2025 11:04,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
26,2/1/2025 11:15,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
27,2/1/2025 14:27,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
28,2/1/2025 15:06,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
29,2/1/2025 15:08,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
30,2/1/2025 15:17,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
31,2/1/2025 16:29,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
32,2/1/2025 16:41,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
33,2/1/2025 16:43,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ส่วนเบี่ยงเบนมาตรฐาน"
34,2/1/2025 17:38,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
35,2/1/2025 17:39,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
36,2/1/2025 17:40,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
37,2/1/2025 17:46,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
38,2/1/2025 18:16,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
39,2/1/2025 18:36,"ฮิสโทแกรม (histogram), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
40,2/1/2025 20:24,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
41,2/1/2025 20:42,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
42,2/1/2025 23:13,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภูมิวงกลม (pie chart), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
43,2/1/2025 23:31,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
44,2/2/2025 00:30,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
45,2/2/2025 00:37,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
46,2/2/2025 00:53,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
47,2/2/2025 02:02,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
48,2/2/2025 02:53,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
49,2/2/2025 03:01,"ฮิสโทแกรม (histogram), แผนภาพการกระจาย (scatter plot), แผนภูมิวงกลม (pie chart), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
50,2/2/2025 03:19,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot)"
51,2/2/2025 10:20,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), แผนภูมิวงกลม (pie chart), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
52,2/2/2025 10:23,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
53,2/2/2025 11:18,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
54,2/2/2025 11:32,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน"
55,2/2/2025 11:44,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
56,2/2/2025 12:08,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
57,2/2/2025 12:10,"ฮิสโทแกรม (histogram), แผนภาพกล่อง (boxplot), แผนภาพการกระจาย (scatter plot), ค่าเฉลี่ย และ/หรือ มัธยฐาน, ส่วนเบี่ยงเบนมาตรฐาน, ค่าต่ำสุดและค่าสูงสุด"
