"stu_id","percent_attend","past_grade_inmath","percent_late"
1,100,"D+ to C+",45.454545454545496
2,100,"D+ to C+",27.2727272727273
3,100,"D+ to C+",0
4,100,"more than B",18.181818181818198
5,100,"D+ to C+",27.2727272727273
6,100,"more than B",36.363636363636395
7,100,"D+ to C+",18.181818181818198
8,90.90909090909089,"F",18.181818181818198
9,100,"more than B",18.181818181818198
10,100,"more than B",45.454545454545496
11,90.90909090909089,"F",18.181818181818198
12,81.8181818181818,"D+ to C+",0
13,100,"F",45.454545454545496
14,9.09090909090909,"F",9.09090909090909
15,100,"D+ to C+",18.181818181818198
16,100,"D+ to C+",45.454545454545496
17,100,"D+ to C+",27.2727272727273
18,100,"D+ to C+",27.2727272727273
19,100,"D+ to C+",0
20,100,"D+ to C+",9.09090909090909
21,100,"more than B",18.181818181818198
22,100,"more than B",27.2727272727273
23,100,"more than B",45.454545454545496
24,100,"more than B",18.181818181818198
25,100,"more than B",9.09090909090909
26,100,"D+ to C+",9.09090909090909
27,100,"more than B",0
28,100,"more than B",9.09090909090909
29,100,"more than B",18.181818181818198
30,100,"more than B",36.363636363636395
31,100,"D+ to C+",18.181818181818198
32,100,"more than B",0
33,100,"more than B",0
34,100,"F",18.181818181818198
35,18.181818181818198,"F",18.181818181818198
36,72.72727272727269,"more than B",18.181818181818198
37,100,"D+ to C+",9.09090909090909
38,100,"more than B",0
39,90,"more than B",0
40,90,"D+ to C+",0
41,100,"more than B",0
42,90,"D+ to C+",0
43,100,"D+ to C+",0
44,100,"D+ to C+",0
45,100,"more than B",10
46,100,"more than B",0
47,100,"more than B",0
48,100,"more than B",0
49,100,"more than B",0
50,80,"D+ to C+",0
51,100,"more than B",0
52,100,"more than B",0
53,90,"D+ to C+",0
54,100,"more than B",0
55,100,"more than B",0
56,100,"more than B",0
57,100,"more than B",0
58,100,"more than B",0
59,100,"F",0
60,90,"D+ to C+",0
61,100,"D+ to C+",0
62,100,"D+ to C+",0
63,100,"more than B",0
64,90,"D+ to C+",0
65,100,"more than B",0
66,100,"more than B",0
67,0,"F",0
68,90,"more than B",0
69,100,"D+ to C+",0
70,100,"D+ to C+",0
71,100,"more than B",0
72,90,"F",0
73,100,"more than B",0
74,100,"more than B",0
75,66.6666666666667,"F",58.3333333333333
76,100,"D+ to C+",0
77,100,"more than B",16.6666666666667
78,100,"D+ to C+",8.33333333333333
79,100,"D+ to C+",0
80,100,"D+ to C+",0
81,100,"D+ to C+",0
82,100,"more than B",0
83,91.6666666666667,"more than B",0
84,100,"D+ to C+",0
85,100,"D+ to C+",0
86,100,"more than B",0
87,100,"D+ to C+",0
88,100,"more than B",0
89,66.6666666666667,"F",58.3333333333333
90,100,"more than B",0
91,100,"D+ to C+",8.33333333333333
92,91.6666666666667,"D+ to C+",8.33333333333333
93,100,"D+ to C+",0
94,91.6666666666667,"D+ to C+",16.6666666666667
95,100,"more than B",16.6666666666667
96,100,"more than B",0
97,100,"D+ to C+",8.33333333333333
98,100,"D+ to C+",0
99,100,"more than B",0
100,100,"D+ to C+",16.6666666666667
101,100,"F",8.33333333333333
102,100,"D+ to C+",0
103,100,"more than B",0
104,100,"D+ to C+",0
105,91.6666666666667,"D+ to C+",0
106,100,"more than B",0
107,100,"D+ to C+",8.33333333333333
108,100,"D+ to C+",0
109,91.6666666666667,"more than B",8.33333333333333
110,100,"more than B",0
111,100,"more than B",0
112,91.6666666666667,"more than B",0
113,100,"D+ to C+",16.6666666666667
114,100,"D+ to C+",0
115,100,"D+ to C+",0
116,100,"more than B",0
117,70,"D+ to C+",0
118,90,"D+ to C+",0
119,90,"D+ to C+",0
120,100,"D+ to C+",10
121,80,"F",10
122,100,"D+ to C+",0
123,100,"D+ to C+",0
124,90,"more than B",10
125,100,"more than B",10
126,90,"more than B",40
127,100,"D+ to C+",20
128,100,"more than B",0
129,100,"more than B",0
130,100,"D+ to C+",0
131,90,"F",0
132,100,"more than B",10
133,100,"D+ to C+",10
134,100,"more than B",0
135,100,"D+ to C+",0
