"stu_id","goout","time_do_homework"
1,0,NA
2,0.90909090909091,232
3,0,16.5
4,0.4545454545454545,16
5,0,8.5
6,0,71
7,0,168
8,0.4545454545454545,5715.5
9,0,36.5
10,0,53.5
11,1.81818181818182,NA
12,0.4545454545454545,11
13,0.4545454545454545,7101
14,0,NA
15,1.81818181818182,NA
16,0.4545454545454545,9.5
17,0.90909090909091,8
18,2.2727272727272747,39
19,1.81818181818182,10
20,0,11
21,0,12.5
22,1.81818181818182,NA
23,0,42.5
24,0,9.5
25,0,14
26,0,17.5
27,0.4545454545454545,2207.5
28,0,19.5
29,0,18.5
30,0.90909090909091,11.5
31,0,9
32,0,6893
33,0,74
34,0.90909090909091,91.5
35,0,NA
36,0,32.5
37,0,30.5
38,0,108
39,0,398
40,0,NA
41,0,159
42,0,5744
43,2,15
44,0,355.5
45,0,110.5
46,0,1598
47,0,81
48,0,1528
49,0,12.5
50,0,NA
51,1,1892
52,0,530.5
53,0,3664.5
54,0,27.5
55,0,15.5
56,0,608
57,0,44
58,0,83.5
59,0,NA
60,0,295
61,0,NA
62,0,627
63,0,285.5
64,1,9.5
65,1,19
66,0,486
67,0,NA
68,0,4575.5
69,0,1036
70,0,NA
71,0,6469
72,0,NA
73,0.4166666666666665,11.5
74,0,68.5
75,0,NA
76,1.666666666666665,11
77,1.25,7
78,1.25,23
79,1.25,6.5
80,0,10.5
81,0.4166666666666665,395
82,1.25,22.5
83,0.8333333333333349,12.5
84,0.4166666666666665,6.5
85,1.25,10.5
86,0,63
87,0,52.5
88,0,419.5
89,0,NA
90,0,120.5
91,1.666666666666665,10
92,0,12
93,0,180
94,0,9
95,0,10.5
96,0,5749.5
97,2.0833333333333353,2580.5
98,0.4166666666666665,100.5
99,0,2339.5
100,0,19.5
101,0.8333333333333349,10
102,0.4166666666666665,20.5
103,0,114
104,0,17.5
105,0.4166666666666665,1543.5
106,1.25,108
107,0,62
108,0.4166666666666665,15.5
109,0,29
110,0,19
111,0.8333333333333349,52.5
112,0,32.5
113,0,622
114,1.25,35.5
115,1.25,8.5
116,0.5,815.5
117,0.5,16
118,0,5689
119,0,3529.5
120,0,67.5
121,0,14.5
122,0,NA
123,0,10.5
124,0.5,16.5
125,1,6206
126,0,12
127,0,41
128,0.5,58
129,0,645.5
130,0,7
131,1,21
132,0,10.5
133,0.5,263
134,0,45
135,0,8
136,0,13.5
137,0,29.5
138,0,11.5
139,0.5,7.5
140,0,31.5
141,0,15
142,0,7.5
143,0,591.5
144,0,NA
