_id,STRUCTURE_NAME,ACTION,RK_IMD,Competitiveness Ranking,FAC,Factor by IMD,SUBFAC,Sub Factor by IMD,IMD_IND,IMD indicators,COUNTRY,Country,FREQ,Frequency,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value,SOURCE,Source,UNIT,Unit
1,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,_T,Total,_T,Total,_T,Total,HK,"Hong Kong, China",A,Annual,2562,,8,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
2,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,_T,Total,_T,Total,_T,Total,HK,"Hong Kong, China",A,Annual,2563,,5,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
3,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,_T,Total,_T,Total,_T,Total,HK,"Hong Kong, China",A,Annual,2564,,2,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
4,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,_T,Total,_T,Total,_T,Total,HK,"Hong Kong, China",A,Annual,2565,,9,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
5,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,_T,Total,_T,Total,DK,Denmark,A,Annual,2562,,6,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
6,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,_T,Total,_T,Total,DK,Denmark,A,Annual,2563,,6,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
7,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,_T,Total,_T,Total,DK,Denmark,A,Annual,2564,,8,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
8,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,_T,Total,_T,Total,DK,Denmark,A,Annual,2565,,6,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
9,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0102,การฝึกอบรมและการศึกษา,_T,Total,US,United States,A,Annual,2562,,25,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
10,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0102,การฝึกอบรมและการศึกษา,_T,Total,US,United States,A,Annual,2563,,24,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
11,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0102,การฝึกอบรมและการศึกษา,_T,Total,US,United States,A,Annual,2564,,24,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
12,Competitiveness Ranking ,I,WDCR,World Digital Competitiveness Ranking,WDCR01,Knowledge,WDCR0102,การฝึกอบรมและการศึกษา,_T,Total,US,United States,A,Annual,2565,,23,,สำนักงานคณะกรรมการดิจิทัลเพื่อเศรษฐกิจและสังคมแห่งชาติ,,RNK,Rank
