year,student_level,grid_id,grid_lon,grid_lat,school_lon,school_lat,school_code3,school_size,affiliation,amphor,tambon,province,risk_index_df5,ach_score,hard_to_reach,location,electric_type_use,water_type,internet_type
2017,p6,grid_1459,100.576683,13.844405,100.4948822,13.7599148,1010720019,M,สพป.กรุงเทพมหานคร,เขตพระนคร,ชนะสงคราม,กรุงเทพมหานคร,0.6457729987467504,0.12431946028905835,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2018,p6,grid_1459,100.576683,13.844405,100.4948822,13.7599148,1010720019,M,สพป.กรุงเทพมหานคร,เขตพระนคร,ชนะสงคราม,กรุงเทพมหานคร,0.8052507198429549,-0.5666059751489276,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2019,p6,grid_1459,100.576683,13.844405,100.4948822,13.7599148,1010720019,M,สพป.กรุงเทพมหานคร,เขตพระนคร,ชนะสงคราม,กรุงเทพมหานคร,0.7706881841281952,-0.3605286596292968,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2020,p6,grid_1459,100.576683,13.844405,100.4948822,13.7599148,1010720019,S,สพป.กรุงเทพมหานคร,เขตพระนคร,ชนะสงคราม,กรุงเทพมหานคร,0.8451142487391755,-0.7498802336501147,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2021,p6,grid_1459,100.576683,13.844405,100.4948822,13.7599148,1010720019,S,สพป.กรุงเทพมหานคร,เขตพระนคร,ชนะสงคราม,กรุงเทพมหานคร,0.24387777640114944,-0.19190354044946306,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2017,p6,grid_1459,100.576683,13.844405,100.5055673,13.7575591,1010720007,M,สพป.กรุงเทพมหานคร,เขตพระนคร,บ้านพานถม,กรุงเทพมหานคร,0.35883677844147055,1.0577138187145714,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2018,p6,grid_1459,100.576683,13.844405,100.5055673,13.7575591,1010720007,M,สพป.กรุงเทพมหานคร,เขตพระนคร,บ้านพานถม,กรุงเทพมหานคร,0.18376110179824304,1.749435576616356,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2019,p6,grid_1459,100.576683,13.844405,100.5055673,13.7575591,1010720007,M,สพป.กรุงเทพมหานคร,เขตพระนคร,บ้านพานถม,กรุงเทพมหานคร,0.175888975683051,1.8319072655964135,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2020,p6,grid_1459,100.576683,13.844405,100.5055673,13.7575591,1010720007,M,สพป.กรุงเทพมหานคร,เขตพระนคร,บ้านพานถม,กรุงเทพมหานคร,0.3470207552260043,1.1043282638361662,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2021,p6,grid_1459,100.576683,13.844405,100.5055673,13.7575591,1010720007,M,สพป.กรุงเทพมหานคร,เขตพระนคร,บ้านพานถม,กรุงเทพมหานคร,0.05152348768307315,1.2979168254708398,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2017,p6,grid_1459,100.576683,13.844405,100.4909542,13.7475278,1010720023,M,สพป.กรุงเทพมหานคร,เขตพระนคร,พระบรมมหาราชวัง,กรุงเทพมหานคร,0.10234261457938837,2.3464694137320192,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2018,p6,grid_1459,100.576683,13.844405,100.4909542,13.7475278,1010720023,M,สพป.กรุงเทพมหานคร,เขตพระนคร,พระบรมมหาราชวัง,กรุงเทพมหานคร,0.08086008965094073,2.5294932314617964,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2019,p6,grid_1459,100.576683,13.844405,100.4909542,13.7475278,1010720023,M,สพป.กรุงเทพมหานคร,เขตพระนคร,พระบรมมหาราชวัง,กรุงเทพมหานคร,0.08660520887646936,2.5047961754638153,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2020,p6,grid_1459,100.576683,13.844405,100.4909542,13.7475278,1010720023,M,สพป.กรุงเทพมหานคร,เขตพระนคร,พระบรมมหาราชวัง,กรุงเทพมหานคร,0.14691477338831,2.0100038442901442,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2021,p6,grid_1459,100.576683,13.844405,100.4909542,13.7475278,1010720023,M,สพป.กรุงเทพมหานคร,เขตพระนคร,พระบรมมหาราชวัง,กรุงเทพมหานคร,0.06338487940972898,1.1042632632827099,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2017,p6,grid_1459,100.576683,13.844405,100.5083109,13.7717488,1010720003,XL,สพป.กรุงเทพมหานคร,เขตดุสิต,ดุสิต,กรุงเทพมหานคร,0.09047614530503689,2.4614762130998846,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2018,p6,grid_1459,100.576683,13.844405,100.5083109,13.7717488,1010720003,XL,สพป.กรุงเทพมหานคร,เขตดุสิต,ดุสิต,กรุงเทพมหานคร,0.07467341116907585,2.6035049884725026,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2019,p6,grid_1459,100.576683,13.844405,100.5083109,13.7717488,1010720003,XL,สพป.กรุงเทพมหานคร,เขตดุสิต,ดุสิต,กรุงเทพมหานคร,0.07476514989887396,2.641521362889015,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2020,p6,grid_1459,100.576683,13.844405,100.5083109,13.7717488,1010720003,XL,สพป.กรุงเทพมหานคร,เขตดุสิต,ดุสิต,กรุงเทพมหานคร,0.19545439259663677,1.7299864270555971,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2021,p6,grid_1459,100.576683,13.844405,100.5083109,13.7717488,1010720003,XL,สพป.กรุงเทพมหานคร,เขตดุสิต,ดุสิต,กรุงเทพมหานคร,0.053321364459095286,1.2657599764425398,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2017,p6,grid_1459,100.576683,13.844405,100.5127131,13.745355,1010720016,M,สพป.กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,ป้อมปราบ,กรุงเทพมหานคร,0.04114069182071651,3.198552765804418,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2018,p6,grid_1459,100.576683,13.844405,100.5127131,13.745355,1010720016,M,สพป.กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,ป้อมปราบ,กรุงเทพมหานคร,0.03264705409802518,3.383288249393244,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
2019,p6,grid_1459,100.576683,13.844405,100.5127131,13.745355,1010720016,M,สพป.กรุงเทพมหานคร,เขตป้อมปราบศัตรูพ่าย,ป้อมปราบ,กรุงเทพมหานคร,0.059879972130809034,2.8482262559092897,ไม่ยุ่งยาก,URBAN,ไฟฟ้าจากหน่วยงานรัฐ,การประปานครหลวง/ส่วนภูมิภาค,มีการเชื่อมต่อ internet คุณภาพสูง
