Event,Start,End,,,,
Basic Concepts of ML,2024-08-10,2024-08-17,,,,
Modelling Process (Supervised Learning),2024-08-17,2024-08-31,,,,
Data Preprocessing (Part I) and Feature Selection,2024-08-31,2024-09-14,,,,
Single Learning Algorithms,2024-09-14,2024-09-28,,,,
Data Preprocessing (Part II),2024-09-28,2024-10-12,,,,
Model Interpretations,2024-10-12,2024-10-19,,,,
Ensemble Learning,2024-10-19,2024-11-02,,,,
Unsupervised Learning,2024-11-02,2024-11-09,,,,
Model Deployment,2024-11-30,2024-12-07,,,,
Machine Learning Fairness,2024-12-07,2024-12-07,,,,
