"ach","learning_performance","ontime_class","engage","practice"
52.159779963481874,32.666666666666664,"used to late","no engage","do practice"
30.784999350002536,10.666666666666668,"used to late","much engage","do not praction"
39.60773714915348,28,"never late","much engage","do not praction"
55.98535145715528,52.666666666666664,"used to late","much engage","do practice"
31.800255128520302,15.555555555555555,"used to late","much engage","do not praction"
70.54423196716758,88.22222222222223,"used to late","much engage","do practice"
21.153590189372537,18.666666666666668,"used to late","much engage","do not praction"
9.963092582160602,14.222222222222221,"used to late","much engage","do not praction"
65.02810409846637,68.44444444444444,"used to late","much engage","do not praction"
61.423481589012894,55.1111111111111,"used to late","much engage","do practice"
14.158104243764106,6.222222222222222,"used to late","much engage","do not praction"
29.131223896986974,21.77777777777778,"never late","moderate engage","do not praction"
19.2468052904159,14.000000000000002,"used to late","no engage","do practice"
31.566105169302553,29.11111111111111,"used to late","much engage","do not praction"
25.048182622415435,28.000000000000004,"used to late","much engage","do not praction"
20.244099446403418,22.22222222222222,"used to late","much engage","do not praction"
40.828555736199704,41.55555555555556,"used to late","much engage","do practice"
36.33298558422807,38.00000000000001,"never late","much engage","do not praction"
46.7426253236186,25.555555555555557,"used to late","much engage","do not praction"
66.30432432411342,72.88888888888889,"used to late","much engage","do practice"
62.44926323460606,71.11111111111111,"used to late","much engage","do not praction"
66.01582557588407,75.55555555555556,"used to late","no engage","do practice"
48.72700430413249,59.77777777777778,"used to late","much engage","do not praction"
64.04050589829855,74.44444444444444,"used to late","much engage","do not praction"
57.483178616683496,58.44444444444444,"used to late","much engage","do practice"
62.591741262457894,79.55555555555554,"never late","much engage","do not praction"
78.38266645768505,92,"used to late","much engage","do practice"
56.77898771151438,56.22222222222222,"used to late","much engage","do not praction"
50.25019396025351,59.111111111111114,"used to late","much engage","do not praction"
40.99131110293462,31.33333333333333,"used to late","much engage","do not praction"
77.10260567847337,96,"never late","much engage","do practice"
75.10404825920749,95.55555555555556,"never late","much engage","do not praction"
62.33812046067766,70.66666666666666,"used to late","much engage","do not praction"
28.622394790494404,13.555555555555555,"used to late","moderate engage","do not praction"
69.62744551383139,87.33333333333333,"never late","little engage","do practice"
75.1217122027799,92.22222222222223,"never late","moderate engage","do practice"
50.19445033274927,46.22222222222222,"never late","much engage","do not praction"
69.17019872640662,87.55555555555556,"never late","much engage","do not praction"
44.17228203401669,57.77777777777778,"never late","little engage","do not praction"
41.37620501206681,47.333333333333336,"never late","much engage","do not praction"
30.019246077767335,41.55555555555556,"never late","much engage","do not praction"
71.45639388958409,92.88888888888889,"used to late","much engage","do practice"
58.75823080017887,85.77777777777777,"never late","much engage","do practice"
64.20998545927301,55.1111111111111,"never late","much engage","do not praction"
56.074984872545436,82,"never late","much engage","do not praction"
39.15292516002434,54.44444444444444,"never late","much engage","do practice"
37.733247951049414,47.55555555555556,"never late","much engage","do not praction"
64.01524579766044,70.22222222222223,"never late","much engage","do practice"
51.03448578652645,49.77777777777778,"never late","much engage","do practice"
44.63473697354465,45.33333333333333,"never late","much engage","do not praction"
55.85373592127304,55.1111111111111,"never late","much engage","do not praction"
46.939940254098914,51.777777777777764,"never late","much engage","do not praction"
54.98968798520083,83.55555555555556,"never late","much engage","do not praction"
63.74054248281135,79.77777777777777,"never late","much engage","do not praction"
59.10700864604905,78.66666666666667,"never late","much engage","do not praction"
26.200015068960635,24.444444444444443,"never late","little engage","do not praction"
43.87314506588828,14.444444444444445,"never late","much engage","do not praction"
22.100319149836835,38.22222222222223,"never late","much engage","do not praction"
34.25983078492901,29.555555555555557,"never late","much engage","do not praction"
66.461049747363,85.77777777777777,"never late","much engage","do practice"
32.162707025148364,14.444444444444445,"never late","much engage","do not praction"
58.36541607790992,71.55555555555557,"never late","much engage","do not praction"
83.41467730679565,88,"never late","much engage","do not praction"
62.70154876161653,76.66666666666667,"never late","much engage","do practice"
30.956523830776753,52.44444444444444,"never late","much engage","do not praction"
21.8517331656279,4.888888888888889,"never late","much engage","do not praction"
58.77580321371817,64.22222222222223,"never late","much engage","do not praction"
13.652267354561989,6.666666666666667,"never late","little engage","do not praction"
53.825437019868964,72,"never late","much engage","do not praction"
49.41083398817331,63.55555555555556,"never late","much engage","do not praction"
37.053726755046966,57.11111111111112,"never late","much engage","do not praction"
53.2802829448681,73.11111111111111,"used to late","much engage","do not praction"
38.6773766653948,34.888888888888886,"used to late","much engage","do not praction"
50.59326563785037,36.22222222222222,"never late","much engage","do not praction"
43.74864991641847,46.888888888888886,"never late","much engage","do not praction"
46.06769526864244,52.22222222222222,"never late","much engage","do not praction"
75.10977157004888,73.11111111111111,"never late","moderate engage","do not praction"
45.427754755621066,66,"never late","much engage","do not praction"
45.62654200593119,23.55555555555556,"never late","much engage","do not praction"
30.50377777161325,41.99999999999999,"never late","much engage","do not praction"
77.44537364013553,81.77777777777779,"never late","much engage","do practice"
45.643483230559,42.44444444444445,"never late","much engage","do not praction"
60.622358537669,61.111111111111114,"never late","much engage","do not praction"
56.83523173313424,83.33333333333333,"never late","much engage","do not praction"
33.327661453715685,28.444444444444443,"used to late","much engage","do not praction"
27.784317219668317,19.555555555555554,"used to late","much engage","do not praction"
56.88853016433649,52.22222222222222,"never late","much engage","do not praction"
50.461564218343945,34.66666666666667,"used to late","much engage","do not praction"
49.93335782054881,46.22222222222222,"used to late","much engage","do not praction"
55.340994233341256,68.88888888888889,"never late","much engage","do practice"
50.88710519338657,27.55555555555555,"used to late","much engage","do not praction"
15.133795942459837,32.22222222222222,"never late","little engage","do practice"
56.83542597550324,73.99999999999999,"never late","much engage","do not praction"
46.04620978769031,54.22222222222222,"used to late","much engage","do practice"
6.453334881473529,27.333333333333332,"used to late","much engage","do not praction"
34.21420263923331,29.111111111111118,"never late","much engage","do not praction"
66.1491439938809,66.66666666666667,"never late","much engage","do not praction"
44.49933913740452,53.333333333333336,"never late","much engage","do practice"
42.69712993937433,52,"never late","little engage","do not praction"
65.97409639079828,80.88888888888889,"never late","much engage","do not praction"
43.25426847462994,27.555555555555557,"used to late","much engage","do not praction"
35.658120677641904,24,"never late","moderate engage","do not praction"
44.93529712788467,66.22222222222223,"used to late","much engage","do not praction"
48.09989092594601,66.66666666666667,"never late","much engage","do not praction"
61.75078447454241,87.55555555555556,"never late","much engage","do practice"
57.86844194903053,72.66666666666667,"never late","little engage","do not praction"
30.761188231535755,5.777777777777777,"used to late","moderate engage","do not praction"
41.99979113821318,14.666666666666666,"never late","much engage","do not praction"
38.84075393812121,47.33333333333332,"never late","much engage","do not praction"
65.88716567716178,93.55555555555556,"never late","much engage","do not praction"
35.70717780358311,13.555555555555555,"never late","moderate engage","do not praction"
35.507200164407976,44.666666666666664,"never late","moderate engage","do practice"
49.100708722388745,54.888888888888886,"never late","moderate engage","do not praction"
36.31897488274021,41.55555555555556,"used to late","little engage","do not praction"
22.355916236792247,6,"used to late","moderate engage","do not praction"
38.026119449827405,42.44444444444445,"never late","little engage","do not praction"
35.80437003336767,61.333333333333336,"never late","moderate engage","do not praction"
50.91163434129957,83.11111111111111,"used to late","much engage","do not praction"
75.02197064930309,92.44444444444444,"used to late","much engage","do practice"
54.064800237041645,73.77777777777779,"used to late","much engage","do practice"
51.88942983854616,42.44444444444445,"used to late","much engage","do not praction"
65.22895040421942,94.88888888888889,"never late","much engage","do practice"
52.851566728070466,70.44444444444444,"never late","much engage","do not praction"
37.275190123508956,30.000000000000004,"never late","much engage","do practice"
13.821304894440695,27.333333333333332,"never late","moderate engage","do not praction"
57.45720223369575,95.55555555555556,"used to late","moderate engage","do not praction"
22.061438631179527,50,"used to late","moderate engage","do practice"
56.852450706217844,90.66666666666666,"never late","much engage","do practice"
40.024283036077065,51.111111111111114,"never late","much engage","do not praction"
50.74019035704312,58.888888888888886,"never late","moderate engage","do practice"
31.850431028026716,49.55555555555556,"used to late","much engage","do not praction"
41.138199970644905,67.55555555555556,"used to late","much engage","do practice"
28.47637151465075,34.44444444444444,"never late","much engage","do not praction"
34.96074075564202,59.33333333333334,"never late","much engage","do not praction"
44.88702311045414,42.888888888888886,"used to late","moderate engage","do not praction"
23.997759097891937,13.777777777777779,"never late","little engage","do not praction"
