"student.id","school.type","gender","location","ach","learn.style","study.hr","extra.act","extra.act.hr","self.esteem","social.skill","satisfac","sch.belong_ordinal","sch.absent","par.involv_ordinal","motiv_ordinal","acad.goal","time.manage1","time.manage2","acad.axiety1","acad.axiety2","acad.axiety3","acad.axiety4","acad.axiety5","teach.sup1","teach.sup2","teach.sup3","teach.sup4","teach.sup5","lrn.environ1","lrn.environ2","lrn.environ3","lrn.environ4","lrn.environ5"
1,"Public","หญิง","ภาคใต้",56.713391690914186,"เรียนผ่านการอ่าน-เขียน",8.8,"ชมรมวิชาการ",1.5,4.6,8,2,"3",13,"3","3","เพื่อศึกษาต่อในประเทศ",11,6.7,"3","3","3","1","3","3","3","3","3","3","2","2","3","1","1"
2,"Private","ชาย","ภาคกลาง",56.78130313921821,"เรียนผ่านการลงมือทำ",6.8,"กีฬา",2.2,5.9,11.8,5,"1",12,"4","3","เพื่อศึกษาต่อในประเทศ",10.4,9,"3","5","4","3","4","3","3","3","3","3","3","5","3","4","4"
3,"Public","ชาย","ภาคตะวันออกเฉียงเหนือ",41.5245167157517,"เรียนผ่านการลงมือทำ",7.6,"กีฬา",3.2,8.6,8.1,2,"5",10,"3","2","เพื่อศึกษาต่อในต่างประเทศ",11.4,8.2,"2","2","3","2","2","3","3","2","3","3","1","1","2","1","3"
4,"Private","ชาย","ภาคกลาง",28.66392762919207,"เรียนผ่านการอ่าน-เขียน",3.1,"ชมรมวิชาการ",4,8.3,7,3,"3",10,"1","3","เพื่อศึกษาต่อในประเทศ",8.3,3.2,"3","3","3","3","2","3","3","3","3","3","3","3","3","3","3"
5,"Private","หญิง","ภาคตะวันออกเฉียงเหนือ",75.28483429152327,"เรียนผ่านการอ่าน-เขียน",8.9,"ชมรมวิชาการ",2.3,14,16,4,"5",5,"5","5","เพื่อศึกษาต่อในประเทศ",12.7,19.5,"4","4","3","3","3","3","3","3","3","3","3","3","4","4","3"
6,"Public","หญิง","ภาคใต้",44.44735271537947,"เรียนผ่านการลงมือทำ",8.7,"กีฬา",1.3,4.9,8.8,2,"3",11,"3","3","เพื่อศึกษาต่อในประเทศ",12,9.6,"2","3","3","1","2","3","5","3","3","3","2","2","3","3","1"
7,"Public","หญิง","ภาคเหนือ",14.79334931841506,"เรียนผ่านการอ่าน-เขียน",5.7,"กีฬา",0.9,6.1,2.1,1,"1",14,"1","1","ยังไม่มีเป้าหมายชัดเจน",8.3,0.3,"2","1","1","2","1","3","3","3","2","3","1","1","1","1","1"
8,"Public","หญิง","ภาคกลาง",48.546389494311086,"เรียนผ่านการฟัง",7.9,"ศิลปะ",1.5,11,6.3,2,"3",15,"1","1","เพื่อศึกษาต่อในประเทศ",12.5,1.6,"3","3","2","1","3","5","3","3","3","3","1","2","2","2","2"
9,"Public","หญิง","ภาคเหนือ",35.553971348018614,"เรียนผ่านการฟัง",5.8,"ศิลปะ",2.2,5.6,6.6,2,"3",11,"3","1","เพื่อศึกษาต่อในประเทศ",12.5,7.7,"2","1","1","2","3","3","3","1","3","3","1","3","1","1","2"
10,"Public","ชาย","ภาคกลาง",30.388422450174275,"เรียนผ่านการลงมือทำ",2.1,"ชมรมวิชาการ",3.7,2.5,5,1,"1",11,"1","1","เพื่อสำเร็จการศึกษาขั้นพื้นฐาน",9.1,1.6,"2","2","2","3","2","1","1","1","1","1","1","1","2","1","1"
11,"Private","หญิง","ภาคกลาง",62.54408982075,"เรียนผ่านการลงมือทำ",0.7,"ศิลปะ",3.9,5.4,9.1,5,"5",12,"2","4","เพื่อศึกษาต่อในประเทศ",10,4.8,"5","5","4","5","5","3","3","3","3","3","3","5","4","4","3"
12,"Private","ชาย","ภาคใต้",58.33823600240442,"เรียนผ่านการลงมือทำ",4.3,"กีฬา",1.9,10.3,7.8,4,"3",12,"3","3","เพื่อศึกษาต่อในประเทศ",14,8.2,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
