"ach","ontime_class","engage","practice","learning_performance_mar"
52.159779963481874,"used to late","no engage","do practice",32.666666666666664
30.784999350002536,"used to late","much engage","do not praction",NA
39.60773714915348,"never late","much engage","do not praction",NA
55.98535145715528,"used to late","much engage","do practice",52.666666666666664
31.800255128520305,"used to late","much engage","do not praction",15.555555555555555
70.54423196716758,"used to late","much engage","do practice",88.22222222222223
21.153590189372537,"used to late","much engage","do not praction",NA
9.963092582160602,"used to late","much engage","do not praction",14.22222222222222
65.02810409846637,"used to late","much engage","do not praction",68.44444444444444
61.423481589012894,"used to late","much engage","do practice",55.1111111111111
14.158104243764106,"used to late","much engage","do not praction",6.222222222222222
29.131223896986977,"never late","moderate engage","do not praction",NA
19.2468052904159,"used to late","no engage","do practice",NA
31.566105169302553,"used to late","much engage","do not praction",NA
25.048182622415435,"used to late","much engage","do not praction",NA
20.244099446403418,"used to late","much engage","do not praction",22.22222222222222
40.828555736199704,"used to late","much engage","do practice",41.55555555555556
36.33298558422807,"never late","much engage","do not praction",NA
46.7426253236186,"used to late","much engage","do not praction",25.555555555555557
66.30432432411342,"used to late","much engage","do practice",72.88888888888889
62.44926323460606,"used to late","much engage","do not praction",71.11111111111111
66.01582557588407,"used to late","no engage","do practice",75.55555555555556
48.72700430413249,"used to late","much engage","do not praction",59.77777777777778
64.04050589829855,"used to late","much engage","do not praction",74.44444444444444
57.483178616683496,"used to late","much engage","do practice",58.44444444444444
62.591741262457894,"never late","much engage","do not praction",79.55555555555554
78.38266645768505,"used to late","much engage","do practice",92
56.77898771151438,"used to late","much engage","do not praction",56.22222222222222
50.25019396025351,"used to late","much engage","do not praction",59.111111111111114
40.99131110293462,"used to late","much engage","do not praction",31.33333333333333
77.10260567847337,"never late","much engage","do practice",96
75.10404825920749,"never late","much engage","do not praction",95.55555555555556
62.33812046067766,"used to late","much engage","do not praction",70.66666666666666
28.622394790494404,"used to late","moderate engage","do not praction",NA
69.62744551383139,"never late","little engage","do practice",87.33333333333333
75.1217122027799,"never late","moderate engage","do practice",NA
50.19445033274927,"never late","much engage","do not praction",46.22222222222222
69.17019872640662,"never late","much engage","do not praction",87.55555555555556
44.17228203401669,"never late","little engage","do not praction",57.77777777777778
41.37620501206681,"never late","much engage","do not praction",47.333333333333336
30.019246077767335,"never late","much engage","do not praction",NA
71.45639388958409,"used to late","much engage","do practice",92.88888888888889
58.75823080017887,"never late","much engage","do practice",85.77777777777777
64.20998545927301,"never late","much engage","do not praction",55.1111111111111
56.07498487254544,"never late","much engage","do not praction",82
39.15292516002434,"never late","much engage","do practice",NA
37.733247951049414,"never late","much engage","do not praction",NA
64.01524579766044,"never late","much engage","do practice",70.22222222222223
51.03448578652645,"never late","much engage","do practice",49.77777777777778
44.63473697354465,"never late","much engage","do not praction",45.33333333333333
55.85373592127304,"never late","much engage","do not praction",55.1111111111111
46.939940254098914,"never late","much engage","do not praction",51.77777777777776
54.98968798520083,"never late","much engage","do not praction",83.55555555555556
63.74054248281135,"never late","much engage","do not praction",79.77777777777777
59.10700864604905,"never late","much engage","do not praction",78.66666666666667
26.200015068960635,"never late","little engage","do not praction",NA
43.87314506588828,"never late","much engage","do not praction",14.444444444444445
22.100319149836835,"never late","much engage","do not praction",NA
34.25983078492901,"never late","much engage","do not praction",29.555555555555557
66.461049747363,"never late","much engage","do practice",85.77777777777777
32.162707025148364,"never late","much engage","do not praction",NA
58.36541607790992,"never late","much engage","do not praction",71.55555555555557
83.41467730679565,"never late","much engage","do not praction",88
62.70154876161653,"never late","much engage","do practice",76.66666666666667
30.956523830776753,"never late","much engage","do not praction",52.44444444444444
21.8517331656279,"never late","much engage","do not praction",NA
58.77580321371817,"never late","much engage","do not praction",64.22222222222223
13.652267354561989,"never late","little engage","do not praction",6.666666666666667
53.82543701986896,"never late","much engage","do not praction",72
49.41083398817331,"never late","much engage","do not praction",63.55555555555556
37.053726755046966,"never late","much engage","do not praction",NA
53.2802829448681,"used to late","much engage","do not praction",73.11111111111111
38.6773766653948,"used to late","much engage","do not praction",NA
50.59326563785037,"never late","much engage","do not praction",36.22222222222222
43.74864991641847,"never late","much engage","do not praction",46.888888888888886
46.06769526864244,"never late","much engage","do not praction",52.22222222222222
