ach,ontime_class,engage,practice,learning_performance_mar
52.159779963481874,used to late,no engage,do practice,32.666666666666664
30.784999350002536,used to late,much engage,do not praction,27.24693412933334
39.60773714915348,never late,much engage,do not praction,40.20731818345665
55.98535145715528,used to late,much engage,do practice,52.66666666666666
31.800255128520305,used to late,much engage,do not praction,15.555555555555555
70.54423196716758,used to late,much engage,do practice,88.22222222222223
21.153590189372537,used to late,much engage,do not praction,14.17609246477647
9.963092582160602,used to late,much engage,do not praction,14.22222222222222
65.02810409846637,used to late,much engage,do not praction,68.44444444444444
61.423481589012894,used to late,much engage,do practice,55.1111111111111
14.158104243764106,used to late,much engage,do not praction,6.222222222222222
29.131223896986977,never late,moderate engage,do not praction,25.133853681826366
19.2468052904159,used to late,no engage,do practice,13.28375207897308
31.566105169302556,used to late,much engage,do not praction,28.306977402032047
25.048182622415435,used to late,much engage,do not praction,19.461466618370757
20.244099446403418,used to late,much engage,do not praction,22.22222222222222
40.8285557361997,used to late,much engage,do practice,41.55555555555556
36.33298558422807,never late,much engage,do not praction,35.76313369476652
46.7426253236186,used to late,much engage,do not praction,25.55555555555556
66.30432432411342,used to late,much engage,do practice,72.88888888888889
62.44926323460606,used to late,much engage,do not praction,71.11111111111111
66.01582557588407,used to late,no engage,do practice,75.55555555555556
48.72700430413249,used to late,much engage,do not praction,59.77777777777778
64.04050589829855,used to late,much engage,do not praction,74.44444444444444
57.483178616683496,used to late,much engage,do practice,58.44444444444444
62.59174126245789,never late,much engage,do not praction,79.55555555555554
78.38266645768505,used to late,much engage,do practice,92.0
56.77898771151438,used to late,much engage,do not praction,56.22222222222222
50.25019396025351,used to late,much engage,do not praction,59.11111111111112
40.99131110293462,used to late,much engage,do not praction,31.33333333333333
77.10260567847337,never late,much engage,do practice,96.0
75.10404825920749,never late,much engage,do not praction,95.55555555555556
62.33812046067766,used to late,much engage,do not praction,70.66666666666666
28.622394790494404,used to late,moderate engage,do not praction,23.456323706784914
69.62744551383139,never late,little engage,do practice,87.33333333333333
75.1217122027799,never late,moderate engage,do practice,88.38745557215393
50.19445033274927,never late,much engage,do not praction,46.22222222222222
69.17019872640662,never late,much engage,do not praction,87.55555555555556
44.17228203401669,never late,little engage,do not praction,57.77777777777778
41.37620501206681,never late,much engage,do not praction,47.333333333333336
30.01924607776733,never late,much engage,do not praction,27.19472090865583
71.45639388958409,used to late,much engage,do practice,92.88888888888889
58.75823080017887,never late,much engage,do practice,85.77777777777777
64.20998545927301,never late,much engage,do not praction,55.1111111111111
56.07498487254544,never late,much engage,do not praction,82.0
39.15292516002434,never late,much engage,do practice,40.42973158484943
37.73324795104941,never late,much engage,do not praction,37.66343793688868
64.01524579766044,never late,much engage,do practice,70.22222222222223
51.03448578652645,never late,much engage,do practice,49.77777777777778
44.63473697354465,never late,much engage,do not praction,45.33333333333333
55.85373592127304,never late,much engage,do not praction,55.1111111111111
46.939940254098914,never late,much engage,do not praction,51.77777777777776
54.98968798520083,never late,much engage,do not praction,83.55555555555556
63.74054248281135,never late,much engage,do not praction,79.77777777777777
59.10700864604905,never late,much engage,do not praction,78.66666666666667
26.200015068960635,never late,little engage,do not praction,20.300165914213004
43.87314506588828,never late,much engage,do not praction,14.444444444444445
22.100319149836835,never late,much engage,do not praction,16.447898891034818
34.25983078492901,never late,much engage,do not praction,29.55555555555556
66.461049747363,never late,much engage,do practice,85.77777777777777
32.162707025148364,never late,much engage,do not praction,30.10362428822588
58.36541607790992,never late,much engage,do not praction,71.55555555555557
83.41467730679565,never late,much engage,do not praction,88.0
62.70154876161653,never late,much engage,do practice,76.66666666666667
30.956523830776757,never late,much engage,do not praction,52.44444444444444
21.8517331656279,never late,much engage,do not praction,16.110541398955174
58.77580321371817,never late,much engage,do not praction,64.22222222222223
13.652267354561989,never late,little engage,do not praction,6.666666666666667
53.82543701986896,never late,much engage,do not praction,72.0
49.41083398817331,never late,much engage,do not praction,63.55555555555556
37.053726755046966,never late,much engage,do not praction,36.741255750198434
53.2802829448681,used to late,much engage,do not praction,73.11111111111111
38.6773766653948,used to late,much engage,do not praction,37.95772551260429
50.59326563785037,never late,much engage,do not praction,36.22222222222222
43.74864991641847,never late,much engage,do not praction,46.888888888888886
46.06769526864244,never late,much engage,do not praction,52.22222222222222
75.10977157004888,never late,moderate engage,do not praction,87.53160945960718
45.427754755621066,never late,much engage,do not praction,66.0
45.62654200593119,never late,much engage,do not praction,23.55555555555556
30.50377777161325,never late,much engage,do not praction,27.852281702314954
77.44537364013553,never late,much engage,do practice,81.77777777777779
45.643483230559,never late,much engage,do not praction,42.44444444444445
60.622358537669,never late,much engage,do not praction,61.11111111111112
56.83523173313424,never late,much engage,do not praction,83.33333333333333
33.327661453715685,used to late,much engage,do not praction,30.697595731371408
27.78431721966832,used to late,much engage,do not praction,23.17469087217966
56.88853016433649,never late,much engage,do not praction,52.22222222222222
50.461564218343945,used to late,much engage,do not praction,34.66666666666667
49.93335782054881,used to late,much engage,do not praction,46.22222222222222
55.340994233341256,never late,much engage,do practice,68.88888888888889
50.88710519338657,used to late,much engage,do not praction,27.55555555555555
15.133795942459836,never late,little engage,do practice,6.121776669021813
56.83542597550324,never late,much engage,do not praction,73.99999999999999
46.04620978769031,used to late,much engage,do practice,54.22222222222222
6.453334881473529,used to late,much engage,do not praction,-5.773709932107806
34.21420263923331,never late,much engage,do not praction,32.88772097647032
66.1491439938809,never late,much engage,do not praction,66.66666666666667
44.49933913740452,never late,much engage,do practice,53.333333333333336
42.69712993937433,never late,little engage,do not praction,52.0
