"age","years_study","major","level","work_status","gpa","credits_per_term","withdrawal_count","failed_courses","scholarship_status","family_income","monthly_expense","payment_status","absence_count","activity_participation","library_usage","distance_from_home","accommodation_type","commute_hours","academic_risk"
23,2,"Business","Undergraduate",NA,0.88,13,2,2,"None",127856,9393,"Current",11,2,2,73,"Apartment",0.8,"High Risk"
22,2,"Science","Undergraduate","Not Working",3.39,15,0,0,"None",NA,12666,NA,0,2,8,220,"Dormitory",1,"Low Risk"
21,4,"Science","Undergraduate","Working",2.27,11,1,0,"None",35622,15042,"Current",14,0,6,26,"Home",1,"Medium Risk"
20,2,"Science","Graduate","Not Working",3.23,11,0,0,"None",NA,15135,NA,0,6,7,341,"Dormitory",1.1,"Low Risk"
24,2,"Engineering","Undergraduate","Not Working",3.33,14,0,0,"Full",31053,12895,"Current",0,3,6,42,"Apartment",0.5,"Low Risk"
24,3,"Science","Graduate",NA,1.36,10,4,2,"None",2587,10711,"Delayed",20,0,5,66,"Home",2.6,"High Risk"
22,4,"Science","Undergraduate",NA,4,14,0,0,"Partial",44786,12275,"Current",3,4,9,62,"Home",2.5,"Low Risk"
21,2,"Science","Undergraduate",NA,1.3,19,1,0,"None",47338,8986,"Delayed",11,2,3,159,"Apartment",1.3,"Medium Risk"
18,2,"Engineering","Undergraduate","Not Working",2.94,19,0,0,"Partial",64747,14262,"Current",0,4,9,10,"Home",0.5,"Low Risk"
18,1,"Medicine","Undergraduate","Not Working",0.91,20,2,2,"None",NA,14753,"Current",10,2,3,598,"Apartment",0.6,"Medium Risk"
18,1,"Engineering","Graduate","Not Working",2.44,11,0,0,"None",15682,11773,"Delayed",9,1,4,98,"Home",3.9,"Medium Risk"
22,3,"Liberal Arts","Undergraduate",NA,1.13,12,1,0,"None",172875,11933,"Current",25,0,3,256,"Apartment",0.9,"High Risk"
23,2,"Liberal Arts","Undergraduate","Not Working",2.19,20,0,1,"None",45888,10252,"Current",4,5,3,96,"Apartment",0.5,"Low Risk"
22,5,"Medicine","Undergraduate","Not Working",2.13,14,0,1,"None",57933,13071,"Current",2,2,NA,244,"Apartment",0.4,"Low Risk"
18,3,"Engineering","Undergraduate","Working",1.66,9,1,2,"None",12396,14426,"Current",13,1,4,20,"Home",0.8,"Medium Risk"
21,3,"Engineering","Undergraduate","Not Working",1.89,17,0,0,"Full",14264,12697,NA,6,3,4,18,"Home",0.7,"Low Risk"
19,4,"Business","Undergraduate","Working",2.07,10,0,1,"None",69280,10007,"Current",13,0,6,14,"Home",0.6,"Medium Risk"
22,3,"Liberal Arts","Undergraduate","Not Working",1.82,21,1,0,"None",120668,8608,"Current",2,1,NA,8,"Home",0.5,"Low Risk"
18,3,"Science","Graduate","Not Working",1.77,9,0,1,"None",24600,9504,"Delayed",1,3,5,213,"Dormitory",0.9,"Medium Risk"
18,2,"Business","Graduate","Working",3.57,9,0,1,"Partial",14645,9789,"Current",3,0,8,140,"Dormitory",0.9,"Low Risk"
24,3,"Medicine","Undergraduate","Not Working",3.12,17,0,0,"None",10999,16801,"Delayed",2,2,5,20,"Home",0.8,"Low Risk"
22,4,"Engineering","Undergraduate","Not Working",2.22,18,0,0,"None",86883,9487,"Current",2,4,6,112,"Dormitory",0.8,"Low Risk"
24,4,"Business","Undergraduate","Not Working",1.94,19,0,0,"None",NA,9105,NA,6,2,NA,319,"Dormitory",1.5,"Low Risk"
20,4,"Medicine","Undergraduate","Not Working",3.58,16,0,0,"None",11709,14309,NA,1,3,6,102,"Dormitory",1.4,"Low Risk"
22,1,"Business","Graduate","Not Working",1.71,10,1,0,"None",100747,11434,"Current",11,1,4,46,"Home",1.8,"Medium Risk"
18,4,"Business","Graduate","Not Working",2.05,10,1,2,"None",NA,7937,NA,13,1,4,96,"Home",3.8,"High Risk"
21,1,"Business","Undergraduate","Not Working",3.06,12,0,0,"None",NA,9516,NA,0,1,7,37,"Home",1.5,"Low Risk"
23,4,"Science","Undergraduate","Not Working",3.14,17,0,0,"None",118537,12559,"Current",6,3,NA,100,"Home",4,"Low Risk"
18,6,"Science","Graduate","Not Working",0.81,6,2,2,"None",24365,11925,NA,8,0,0,32,"Home",1.3,"High Risk"
21,3,"Engineering","Graduate","Not Working",2.83,11,1,0,"None",NA,13037,NA,9,1,3,48,"Home",1.9,"Low Risk"
18,3,"Medicine","Undergraduate","Not Working",2.06,19,0,0,"None",26675,14774,"Current",9,1,4,64,"Home",2.6,"Low Risk"
20,1,"Liberal Arts","Undergraduate","Not Working",2.93,21,0,0,"Partial",37077,17212,"Current",2,3,5,50,"Home",2,"Low Risk"
20,4,"Medicine","Graduate","Not Working",2.36,12,0,0,"None",73701,16800,"Current",6,2,NA,62,"Home",2.5,"Medium Risk"
24,3,"Science","Undergraduate","Working",1.96,11,0,2,"None",39856,12339,"Delayed",17,0,6,120,"Apartment",1,"Medium Risk"
20,1,"Liberal Arts","Undergraduate","Not Working",2.33,14,0,0,"None",19076,10312,NA,9,3,NA,68,"Home",2.7,"Medium Risk"
22,1,"Engineering","Undergraduate","Not Working",3.17,19,1,0,"Full",54339,12275,"Current",0,3,7,47,"Apartment",0.7,"Low Risk"
22,2,"Business","Undergraduate",NA,3.11,19,0,0,"Partial",23673,9464,"Current",5,3,NA,25,"Home",1,"Low Risk"
20,4,"Engineering","Undergraduate","Working",2.84,14,0,0,"Partial",34280,15989,NA,8,0,7,240,"Apartment",0.8,"Low Risk"
20,2,"Liberal Arts","Undergraduate","Working",2.59,9,0,0,"None",30870,9158,NA,4,2,5,26,"Home",1,"Low Risk"
22,1,"Liberal Arts","Undergraduate",NA,2.46,17,0,0,"None",74183,6445,"Current",8,2,8,98,"Home",3.9,"Low Risk"
19,6,"Engineering","Undergraduate","Working",3.1,12,1,0,"None",NA,12812,"Current",13,2,6,538,"Dormitory",1.2,"Low Risk"
21,3,"Business","Undergraduate","Working",1.61,10,0,0,"None",NA,9641,NA,16,1,3,13,"Home",0.5,"Medium Risk"
22,3,"Liberal Arts","Undergraduate","Not Working",2.4,12,2,0,"None",49582,8459,"Delayed",3,1,NA,5,"Home",0.5,"Low Risk"
26,1,"Business","Graduate","Not Working",3.11,9,1,0,"None",35592,9246,NA,0,2,6,189,"Dormitory",0.4,"Low Risk"
18,2,"Medicine","Undergraduate","Working",1.92,12,1,1,"None",34981,13409,NA,9,1,3,363,"Apartment",0.3,"Medium Risk"
21,3,"Medicine","Graduate","Not Working",2.35,8,0,0,"None",90922,14364,"Current",7,3,4,30,"Home",1.2,"Low Risk"
22,1,"Science","Undergraduate","Not Working",2.37,19,1,0,"None",80839,15114,"Current",5,2,7,232,"Apartment",0.3,"Low Risk"
23,3,"Science","Undergraduate","Not Working",3.99,18,0,0,"None",64242,7760,"Current",0,3,10,14,"Home",0.6,"Low Risk"
