"infect","read.amt","pre.readf1","pre.readf2","pre.readf3","pre.readf4","pre.readf5","pre.readf6","post.readf1","post.readf2","post.readf3","post.readf4","post.readf5","post.readf6","stress.1","stress.2","stress.3","stress.4","stress.5","stu.engage.1","stu.engage.2","stu.engage.3","stu.engage.4","stu.itcap","learn.per1","learn.per2","gpax.y1","gpax.y2","gender","t.exp","t.itcap","climate.pro.1","climate.pro.2","climate.pro.3","climate.pro.4","climate.pro.5","climate.pro.6","t.mode","location","internet","it.equip"
1,"3","1","3","1","2","1","2","1","4","4","4","1","4","3","2","3","2","2","5","4","5","5","2",9.8,16.28,2.83,2.53,2,2,"1","1","1","3","2","1","1","1","กลาง",2,2
1,"1","1","2","4","1","1","2","1","1","4","2","1","2","2","2","3","1","1","5","4","4","5","3",11.6,18.3,3.21,3.17,2,1,"3","3","1","2","4","3","1","1","กลาง",2,2
2,"3","3","2","1","3","1","3","1","3","4","4","2","4","5","5","5","5","5","2","1","2","2","1",11.2,0.33,2.51,1.1,1,2,"3","3","1","2","1","2","1","1","กลาง",2,0
1,"3","2","3","4","1","1","2","1","2","2","4","1","3","3","2","3","2","3","3","3","3","2","2",12.8,6.44,2.77,2.15,2,1,"2","4","2","3","3","3","5","1","กลาง",2,1
1,"3","1","4","4","1","1","1","1","1","4","4","1","2","2","1","2","1","1","5","5","5","5","3",16.2,17.91,2.87,2.78,2,2,"3","5","5","5","5","5","5","1","กลาง",2,1
2,"3","1","1","4","1","1","1","1","3","4","4","1","4","4","2","4","3","3","4","4","4","5","2",11.6,8.9,2.89,2.24,2,3,"2","5","4","5","5","5","5","1","กลาง",2,1
2,"3","2","3","3","1","1","4","1","4","4","4","1","3","3","2","3","2","1","5","4","4","4","3",6.3,15.25,2.27,2.05,1,3,"2","4","3","3","4","5","5","1","กลาง",2,1
2,"3","3","3","4","3","1","2","1","3","4","4","1","4","4","4","4","3","4","3","2","3","2","1",8.3,1.86,2.71,1.5,2,2,"2","4","3","3","3","4","2","1","กลาง",2,1
2,"3","1","3","1","4","1","1","1","2","4","3","1","4","1","1","1","1","1","5","5","5","5","3",14.3,19.87,3.47,3.45,2,2,"1","4","3","5","1","3","4","1","กลาง",2,3
2,"3","2","3","2","1","1","4","1","4","2","1","1","4","4","5","4","5","5","3","3","2","3","1",10.9,4.85,3.01,2.04,2,1,"2","3","3","3","4","2","1","1","กลาง",2,0
2,"3","1","4","2","2","1","1","1","2","4","3","1","4","4","3","4","4","3","2","1","1","1","1",13.1,0.78,2.97,1.72,1,3,"1","1","1","1","1","1","1","1","กลาง",2,0
2,"3","1","3","4","2","1","2","1","2","3","4","1","2","2","2","2","2","1","4","3","4","4","2",9.8,16.9,2.76,2.65,2,3,"1","4","1","3","3","5","4","1","กลาง",2,1
2,"3","1","1","1","1","1","1","2","1","4","3","1","4","3","2","3","2","1","5","5","5","5","3",13.6,19.4,3.2,3.18,1,1,"2","1","1","2","1","2","1","1","กลาง",2,1
1,"2","1","3","4","1","1","1","1","2","4","4","1","4","3","2","4","3","3","3","2","3","3","1",12.7,3.46,2.65,1.6,1,3,"1","1","1","2","1","1","1","1","กลาง",2,1
1,"3","1","3","2","2","1","2","1","4","4","3","1","4","5","3","5","5","4","3","2","3","2","1",11,3.09,2.64,1.62,2,3,"2","5","5","5","5","5","5","1","กลาง",2,0
2,"3","1","4","4","2","1","1","1","2","4","4","1","4","3","2","3","2","1","4","4","3","4","3",15.4,13.59,3.34,3.26,1,2,"3","5","5","5","5","5","5","1","กลาง",2,1
1,"3","1","1","4","1","1","1","1","2","4","3","1","4","1","1","1","1","1","5","5","5","5","3",12.7,19.73,2.47,2.45,2,2,"3","5","5","5","5","5","5","1","กลาง",2,3
2,"3","1","3","1","2","1","3","1","4","4","4","1","4","3","2","3","2","1","5","5","5","5","3",7.7,19.76,3,2.96,2,2,"2","1","1","3","3","2","2","1","กลาง",2,2
2,"2","1","2","3","2","1","1","1","4","4","4","1","4","5","4","4","5","5","3","1","1","2","1",15,0.17,2.78,1.47,2,2,"3","5","5","5","5","5","5","1","กลาง",2,0
2,"3","1","1","2","3","1","2","1","1","4","3","1","4","3","2","3","2","2","5","4","4","5","3",15.1,14.18,2.86,2.76,2,1,"2","4","3","3","3","3","4","1","กลาง",2,2
2,"2","1","3","4","2","1","2","1","2","4","4","1","3","3","1","2","2","1","4","4","4","5","3",11.6,17.91,2.8,2.77,2,2,"1","1","1","1","1","1","1","1","กลาง",2,2
2,"3","2","2","1","2","1","1","1","4","4","4","1","4","4","2","4","3","3","3","4","3","5","1",12.8,13.78,2.99,2.62,2,3,"1","3","1","2","3","2","1","1","กลาง",2,1
2,"2","1","4","2","1","1","1","1","1","3","4","1","3","2","1","2","1","1","5","5","5","5","3",13.7,18.76,2.62,2.61,2,2,"3","5","3","5","5","5","5","1","กลาง",2,2
2,"3","1","4","1","1","1","2","1","4","3","4","1","4","1","1","1","2","1","5","5","5","5","3",12.7,19.63,3.66,3.65,1,2,"2","1","1","3","3","2","2","1","กลาง",2,2
2,"3","1","3","1","1","1","4","1","2","4","3","1","4","5","5","5","5","5","3","2","2","1","1",8.5,0.7,2.92,1.55,2,1,"3","4","3","3","4","4","2","1","กลาง",2,0
2,"2","1","4","4","1","1","1","1","3","4","4","1","4","1","1","1","1","1","5","5","5","5","3",10.5,19.64,2.32,2.31,2,1,"3","3","1","3","4","2","4","1","กลาง",2,2
2,"3","1","3","1","1","1","2","1","2","3","4","1","4","1","1","1","1","1","5","5","5","5","3",14.8,19.66,3.36,3.35,1,2,"2","1","1","2","3","2","1","1","กลาง",2,4
2,"3","1","1","3","1","1","3","1","4","2","4","1","4","3","2","3","3","2","3","3","4","3","1",12.3,12.17,2.41,2.04,2,2,"2","3","1","3","3","2","2","1","กลาง",2,1
2,"3","1","4","1","2","1","3","1","3","4","3","1","4","3","2","4","2","1","5","4","5","5","2",16.1,18.97,3.38,3.3,2,2,"3","5","5","5","5","5","5","1","กลาง",1,1
2,"2","1","1","4","1","1","3","1","3","4","4","1","4","4","2","3","3","2","3","3","3","3","2",5.5,3.16,2.3,1.18,2,2,"2","5","5","3","5","5","4","1","กลาง",2,0
