student_id,ChooseMethod,Concepts,Interpret,SubmitTime,PercentSubmit,LearnPerform,CheatBehavior
1,60,57.14285714,56.25,156.4115963,66.66666667,95,0.914335839
2,40,57.14285714,31.25,145.0840643,100,73.33333333,0.593489472
3,30,75,55.55555556,145.9241635,100,82.5,1
4,40,58.33333333,55.55555556,128.1200241,100,73.75,0.515980002
5,60,58.33333333,38.88888889,139.8148393,100,78.75,0.641961586
6,30,25,33.33333333,158.8008467,100,78.75,0.999786022
7,20,25,66.66666667,85.4750066,75,68.33333333,1
8,30,41.66666667,33.33333333,157.2756087,100,80,0.997991904
9,70,58.33333333,50,158.5438055,100,75.17857143,0.841244302
10,50,50,38.88888889,154.8540962,100,63.75,0.837343519
11,30,41.66666667,44.44444444,140.5177408,50,55,0.649900977
12,20,66.66666667,27.77777778,152.4549206,100,55,0.913694436
13,50,25,27.77777778,143.0503838,100,85,1
14,30,33.33333333,27.77777778,159.4380958,87.5,81.42857143,0.986961568
15,50,58.33333333,33.33333333,111.0200365,87.5,83.33333333,1
16,70,50,44.44444444,156.5290656,100,82.5,0.889459871
17,50,25,27.77777778,143.6938964,50,80,0.528408694
18,30,58.33333333,55.55555556,157.0072626,100,85,0.906664666
19,60,41.66666667,38.88888889,99.73299187,100,65.35714286,0.772725588
20,30,50,38.88888889,118.3130385,100,78.75,0.526122323
21,40,50,38.88888889,151.0382884,100,85,0.836711435
22,20,50,44.44444444,153.3923715,100,80,0.691218231
23,20,41.66666667,50,122.2502895,100,68.75,0.999569484
24,50,58.33333333,33.33333333,128.2323011,100,78.75,0.830630492
25,20,50,16.66666667,148.9235022,100,66.25,0.6666154
26,40,42.85714286,50,141.0842006,100,93.21428571,0.839402703
27,20,50,43.75,150.2685324,88.88888889,90,0.866495778
28,10,21.42857143,50,129.1688097,100,95,0.997985457
29,20,42.85714286,75,161.8564704,100,80,0.605307341
30,20,64.28571429,56.25,130.1759079,100,78.33333333,0.555723312
31,40,57.14285714,50,88.56262722,100,74.58333333,0.737306264
32,50,64.28571429,62.5,129.6557163,100,85,0.538709776
33,60,42.85714286,56.25,108.7788113,100,80,0.584340488
34,20,57.14285714,37.5,124.5543218,100,92.5,0.983554
35,40,50,56.25,98.96194132,100,90,0.970826811
36,40,50,43.75,138.2741419,100,77.5,1
