cluster,input
1,สามารถสอนในเนื้อหาที่รับผิดชอบได้
1,ชอบในการสอนนักเรียน
1,มีความรู้ความสามารถตามสาขาวิชา
1,ได้บรรจุและปฏิบัติหน้าที่ตรงกับสาขาที่เรียนมา
1,พิจารณาจากผลงาน
1,สามารถทำงานได้สำเร็จตามที่ตั้งใจ
1,บางเนื้อที่ไม่ได่ใช้สอนมีการลืมในบางส่วน
1,นักเรียนมีความสุขกับการเรียน
1,สามารถจัดการเรียนการสอนนักเรียนได้อย่างเต็มที่
1,สอนเด็กแล้วบอกว่าไม่เข้าใจ
1,เบื่องานนอก
1,ไม่มีเวลาใช้เงิน
1,เห็นพัฒนาการที่ดีขึ้นของนักเรียนที่สอน
1,มีความสามารถในการสอน
1,จากที่นักเรียนไปศึกษาต่อ
1,ยังต้องฝึกฝนประสบการณ์อีกหลายๆด้าน
1,ข้าพเจ้ามีความรู้ความสามารถความเข้าใจในวิชาชีพครู
1,ผ่านการอบรมและประเมินอย่าเข้มมาแล้ว
1,ชอบ
1,เหตุผลที่ไม่อยากอธิบาย
1,มีประสบการณ์สอนมานาน
1,นักเรียนมีพัฒนาการต่างๆได้ดีตามเกณฑ์มาตรฐาน
1,สามารถทำหน้าที่ได้ด้วยความตั้งใจ
1,ภูมิใจในอาชีพ
1,มีความรู้ความเข้าใจในการจัดกิจกรรมที่สามารถส่งเสริมพัฒนาการเด็กในระดับปฐมวัยได้
1,อะไรที่ไม่เคยทำก็เรียนรู้เข้าใจศึกษา
1,หลักสูตรวิชาวิทยาศาสตร์ระดับม.ต้นมีเนื้อหาที่กว้างมาก
1,มีการพัฒนาตนเองอยู่เสมอ
1,สามารถทำการสอนได้อย่างดีในวิชาที่ได้รับมอบหมาย
1,สามารถสอนได้ตรงตามสาขาวิชา
1,ดี
1,เตรียมความพร้อมและมีข้อมูลพร้อมได้รับการอบรมต่อเนื่อง
1,-มีความสามารถในอาชีพของตนเอง
1,ทำหน้าที่ได้ดี
1,เป็นคนเรียนรู้ตลอดเวลา
1,ความสามารถในการการสอน
1,มีความสามารถในด้านการที่ยังไม่ครอบคลุมในบางเนื้อ
1,จากประสบการณ์สอนมาหลายปี
1,มี
1,เพราะผลในการทำงานตรงกับผลที่คาดหมาย
1,เพราะเข้าใจงานและปฏิบัติได้สำเร็จ
1,สามารถสอนให้นักเรียนอ่านออกเขียนได้
1,ทำงานที่ไม่ได้ประโยชน์กับนักเรียนเป็นส่วนมากตามที่ผู่บริหารมอบหมาย
1,สอนเด็กๆแล้วรู้สึกสบายใจ
1,ทำได้ดี
1,ผมเรียนมา
1,รู้สึกว่าเด็กที่เรียนได้มีความสุขและมีวินัยมากขึ้นในการมาเรียน
1,ผลสัมฤทธิ์และพัฒนาการของผู้เรียน
1,บางเรื่องยากเกินไป
1,สามารถทำงานทุกงานให้บรรลุเป้าหมายได้
1,รู้สึกมีความรู้ที่ใช้สอนได้อย่างดี
1,เตรียมตัวมาดี
1,ทำได้ทุกอย่างที่มอบหมาย
1,ได้รับผิดชอบในงานหลักของรร
1,เพราะเป็นอาชีพที่เลือก
1,ครูสามารถทำได้ทุกอย่าง
1,มีความรู้และสามารถทำงานที่ได้รับมอบหมายได้
1,เรามีความรู้ที่จะนำเด็กไปสู่จุดปลายทางก่อนทำงานได้
1,พอที่จะพัฒนานร.ในด้านต่างๆได้ดี
1,มีความรู้ความเข้าใจในเนื้อหาที่ต้องสอนเป็นอย่างดี
1,สามารถทำหน้าที่ได้ครบตรงกับหลักสูตรอย่างเต็มความสามารถ
1,สามารถพัฒนาเด็กให้ดีขึ้นได้ขณะที่เรียนอยู่ตนเอง
1,เป็นคนที่ไม่ปิดกั้นและพยายามเรียนรู้เสมอ
1,นักเรียนมีความรู้ทักษะเพิ่มมากขึ้น
1,สามารถปฏิบัติงานได้อย่างราบรื่น
1,ผมเรียนมาครับ
1,ยังต้องหมั่นหาความรู้เพิ่มเติม
1,สามารถอธิบายเนื้อหาได้
1,สอนตรงความถนัด
1,มีความมุ่งมั่นและตั้งใจในการทำงานอย่างเต็มศักยภาพและพร้อมพัฒนาตนเองเสมอ
1,เก่งมากอาจทำให้เหนื่อยได้ง่าย
1,สามารถปฏิบัติงานที่ได้รับมอบหมายได้อย่างมีประสิทธิภาพ
1,รู้สึกว่าไปได้ไกลมากกว่าการเป็นครู
1,นักเรียนจบไปสามารถประกอบอาชีพหรือเรียนต่อระดับสูงขึ้น
1,ยังมีด้านที่ต้องพัฒนาเพิ่มเติม
1,มี
1,สามารถพัฒนาต่อให้มีความสามารถยิ่งขึ้นไปได้อีก
1,ความรู้สำหรับสอนมีครอบคลุมระดับชั้น
1,อาจจะมีความสามารถไม่เพียงพอกับการทำงานในโรงเรียนมัธยมศึกษา
1,ไม่ได้จบครูโดยตรง
1,มีศักยภาพในการเป็นครูอย่างยิ่ง
1,สามารถทำงานวันวิชาการและสอนนักเรียนได้
1,ตามประสบการณ์ที่เรียน
1,เหมือนจะไม่ทันยุคสมัยแล้ว
1,มีความสามารถแต่ก็ยังคงต้องพัฒนาตนเองให้ทันกับการเปลี่ยนแปลง
1,สามารถทำงานทุกอย่างที่ได้รับมอบหมายได้ตามคำสั่ง
1,รู้สึกว่ามีความสามารถด้านความรู้และทักษะมากพอแต่มีความยากลำบากในการรับมือกับความต้องการของเด็ก
1,เด็กจะดีใจถ้าได้เรียนกับตนเอง
1,สามารถทำงานได้ผลเป็นอย่างดี
1,มีความสามารถแต่ไม่ค่อยได้สอนนักเรียนเพราะมีภาระงานนอกเหนือจากงานสอน
1,สามารถ​สอนนักเรียนได้เต็​มกำลัง​
1,ทำงานมานาน
1,ทำได้เกือบทุกอย่างที่ผอ.และโรงเรียนต้องการ
1,วัฒนธรรมข้าราชการครูของไทย
1,ฉันเข้าใจในความสามารถของตนเองโดยอ้างจากคำพูดของคนรอบข้างและจากการประเมินการทำงานและการแก้ปัญหาต่างๆ
1,ไม่จบสายตรงมา
2,เป็นวิชาชีพที่ชอบ เรื่องภาระงานใช้การบริหารจัดการ ค่อยๆ เคลียร์ไปทีละงาน
2,"สามารถควบคุมชั้นเรียนได้
สามารถจัดการเรียนการสอนได้ตรงกับวัตถุประสงค์การเรียนรู้ 
มีวิธีการสอนที่หลากหลายเพื่อสร้างความสนใจในการเรียนของผู้เรียน"
2,สามารถทำการสอนได้ แต่ภาระงานอื่นๆที่นอกเหนือจากการสอนในโรงเรียน อาจไม่มีความสามารถมากเกินพอ ทำได้ไม่ดีเท่าที่ควร
2,ครูมีภาระความรับผิดชอบบทบาทหน้าที่ที่มากมายหลากหลาย ทำให้ไม่สามารถทำงานได้อย่างเต็มที่เต็มความสามารถ จึงส่งผลให้รู้สึกไม่มีความสามารถเพียงพอในการเป็นครูในปัจจุบัน
2,มีบางเรื่องยังสอนไม่เข้าใจ และไม่สนใจ ยังไม่สามารถออกแบบการเรียนรู้ในบางหัวข้อได้
2,เห็นได้ชัดจากฟีดแบ็คของนักเรียนซึ่งเป็นผู้รับบริการ มีความพึงพอใจในการเรียนทั้งทางด้านความรู้ ทักษะ และความสุข รวมถึงความสามารถในการทำงานด้านอื่นที่นอกเหนือจากภาระงานสอน
2,สามารถจัดการชั้นเรียนได้ดี ถ่ายทอดความรู้ให้นักเรียนเข้าใจได้ แต่เด็กบางคนยังไม่เข้าใจ
2,เนื่องจากได้รับผิดชอบงานพัสดุ ได้เรียนรู้งานใหม่ที่ยากและท้าทายอยู่เสมอแต่ก็สามารถทำมันออกมาได้ดี จึงคิดว่าตนเองมีความสามารถในการเรียนรู้งานได้ไวและพัฒนาศักยภาพของตนได้ต่อไปเรื่อย ๆ
2,สอนให้นักเรียนอ่านออกเขียนได้ สอนดี มีความสุขกับการสอน
2,สามารถพัฒนาผู้เรียนและตนเองให้มีผลงานเป็นที่ประจักษ์ และมีความสุขกับการทำงาน แก้ปัญหาต่างๆได้อย่างดี
2,"สามารถออกแบบการสอนที่ทำให้นักเรียนเข้าใจและมีความรู้สำหรับใช้ในการสอบและใช้ชีวิตประจำวันได้

มีวิธีการสอนที่ทำให้นักเรียนมีเจตคติที่ดี

สามารถทำงานอื่นที่รับมอบหมายได้สำเร็จ"
2,ส่วนใหญ่เราสามารถทำงานได้ดี เป็นที่เคารพของนักเรียนและได้รับการยอมรับจากผู้ร่วมงาน แต่บางครั้งที่ไม่สามารถสอนให้นักเรียนเข้าใจเนื้อหาตามที่เราต้องการก็รู้สึกว่ายังเก่งไม่พอ
2,งานครูในระบบราชการมีลักษณะเป็นงานเดิมที่ทำซ้ำ ๆ ในแต่ละปี มีเพียงผู้เรียนที่เปลี่ยนแปลงไปจึงอาจจะต้องมีการปรับวิธีการและใช้องค์ความรู้ใหม่หรือเดิมเพื่อแก้ปัญหาและทำงาน
2,สามารถจัดการเรียนการสอนได้ตรงตามวัตถุประสงค์ที่ตั้งไว้ รวมทั้งงานที่ส่งเสริมผู้เรียนด้านอื่นๆ ทั้งงานบริหารวิชาการ และงานที่ได้รับมอบหมายได้อย่างมีประสิทธิภาพ
2,ค่อนข้างมั่นใจว่ามีความรู้และความสามารถเพียงพอต่อการประกอบอาชีพครู มีความอดทนและตั้งใจในการให้ข้อมูล ความรู้แก่นักเรียน รวมทั้งมีความสนใจในการพัฒนาตัวเองให้มีความรู้และทันสมัยอยู่เสมอ เพื่อให้มีความรู้เท่าทันในสังคม และนำข้อมูลที่มีมาปรับใช้กับการสอนนักเรียนต่อไป
2,บางงานที่เกี่ยวข้องกับเอกสารและระเบียบเป็นสิ่งที่รู้สึกว่ายังไม่ได้ทำมันออกมาได้อย่างเต็มที่อย่างที่ตั้งใจ เช่น หลักสูตรสถานศึกษา เป็นต้น
2,มีความรู้ความสามารถตรงสายการสอน และสอนตรงตามวิชาเอก สามารถถ่ายทอดความรู้ให้นักเรียน คอยแนะนำ ชี้แนะ ดูแลนักเรียนในด้านต่างๆได้
2,เก่ง มีประสบการณ์ทั้งเนื้อหา และกสรจัดการชั้นเรียน
2,ได้เตรียมตัว สืบค้น วางแผนการสอนที่คิดไว้ แต่รู้สึกว่าตนยังสามารถทำได้ดีกว่านี้
2,สามารถนำความรู้ ความสามารถ และทักษะที่มีอยู่มาพัฒนาตนเอง บุคลากรในทีม และองค์กรได้
2,ขวนขวายหาความรู้อยู่เสมอ พัฒนาการสอนของตนเอง  มีจิตวิทยาดีพอประมาณ
2,สามารถทำงานได้สอดคล้องกับเป้าหมาย และมีการพัฒนาการสอน การทำสื่อ อย่างต่อเนื่อง
2,เรียนจบตรงวิชาเอก พัฒนาตนเองอยู่เสมอ (อบรม แข่งขัน )
2,ความสามารถมี แต่passion ไม่มี
2,เชี่ยวชาญในวิชาที่ต้องสอน ผลการเรียนของนักเรียนแสดงให้เห็นพัฒนาการ และความชื่นชอบในรายวิชา
2,สามารถสอนได้ และ อ่านอื่นๆที่ได้รับมอบหมายได้
2,ไม่น่ามีคุณสมบัติเพียงพอ เพราะรู้สึก ไม่สนุกกับงาน
2,มีความสามารถที่จะสอนนักเรียนและมีวิธีการ จัดการกับนักเรียน ที่ ไม่ตั้งใจเรียนได้
2,รู้สึกว่าทำได้ไม่ดีเท่าที่ควร เมื่อทุ่มเทบทเรียนให้กับนักเรียนอย่างเต็มที่ แต่นักเรียนไม่มีการตอบสนอง ทำให้หันกลับมาคิดทบทวนว่าเป็นปัญหาที่ตนเองสื่อสารหรือวิธีการสอนหรือไม่
2,รู้สึกว่าไม่ค่อยมีความรู้เรื่องหลักสูตรใหม่เท่าที่ควร และรู้สึกว่าตนเองยังพัฒนาได้อีก อยากพัฒนาตรเองไปอีกเรื่อยๆค่ะ
2,ถึงแม้ว่าจะผ่านมาได้ตลอด แต่ก็มีข้อเรียกร้องที่สูงขึ้นเรื่อยๆจากทั้งผู้บริหาร ผู้ปกครอง ต้นสังกัด ในขณะที่ภาระงานนอกสอนก็มีแต่เพิ่ม
2,ผลการประเมินพัฒนาการของเด็กอยู่ในระดับดีและดีมาก  ผู้ปกครองให้ความไว้วางใจ มีส่วนร่วมและให้ความร่วมมือในการดำเนินกิจกรรมต่างๆ อย่างดี
2,มีการแสวงหาความรู้ใหม่ ๆ อยู่เสมอ หาเทคนิค วิธีการสอน
2,การดำเนินการจัดการเรียนการสอน ที่ทันกับสถานการณ์ในปัจจุบัน และสอดคล้องกับความต้องการของผู้เรียน
2,รักในความเป็นครู สอนศิษย์ด้วยความมุ่งมั่นมุ่งหวังให้ศิษย์ได้รับการพัฒนาด้านพฤติกรรม ดานทักษะ การเรียนรู้ เจตคติ และมีความเจริญก้าวหน้า
2,เปรียบเทียบกับที่อื่นนะเราเข้าก็เพื่อนร่วมงานได้ ผู้ใหญ่ก็เอ็นดูเรา แต่พอมาที่ใหม่มันไม่ใช่ เริ่มทำงานเดือนแรกด้วยการที่หัวหน้าบอกว่าเราทำงานไม่เป็น ตอนแรกเราอ่ะมาอย่างมันพอถูกขัดอย่างนี้ก็ไปไม่เป็น
2,ต่อให้มีภาระงานเยอะมากแค่ก็สามารถบริหารจัดการได้เสร็จทันเวลา และสามารถประยุกค์การสอนเพื่อให้นักเรียนได้รับความรู้ให้ได้มากที่สุด ถึงแม้สิ่งหายไปคือสุขภาพกายและจิต
2,เพราะรู้สึกว่าตัวเองยังไม่มีความสามารถมากพอที่จะควบคุมชั้นเรียนได้ และไม่สามารถให้ความรู้นักเรียนได้อย่างเต็มที่และมีประสิทธิภาพ อาจจะเป็นเพราะว่ามีงานอื่นที่ทางโรงเรียนให้ความสำคัญมากกว่าการเรียนการสอนในห้อง ทำให้ตัวเราไม่มีเวลา หรือมีเวลาน้อยในการทบทวน พิจารณา เตรียมตัวสำหรับการสอนในครั้งถัดๆไป ว่าจะต้องปรับเปลี่ยนอะไรให้เหมาะสมและเกิดประสิทธิภาพสูงสุดกับนักเรียนเอง ด้วยเหตุผลนี้จึงทำให้รู้สึกว่าตัวเองไม่น่าจะมีความสามารถมากพอที่จะทำงานอาชีพนี้ อาจจะมีคนที่มีความสามารถและเหมาะสมมากกว่าเรา
2,เป็นการทำอาชีพครูครั้งแรกในชีวิตหลังจากเป็นพนักงานoffice ธรรมดา ไม่เคยมีประสบการณ์สอนมาก่อนเลยแม้แต่ การสอนพิเศษ แต่อยากลองเป็นครู รู้สึกเรายังต้องพัฒนาเกี่ยวกับความเป็นครูมากกว่านี้ การจัดกิจจกรมให้เหมาะสม การสอนให้มีความน่าสนใจ และ ไม่น่าเบื่อ เนื้อหาที่สอนก็ควรทบทวนให้แม่น และ หาเทคนิคที่ทำให้เด็กฟังแล้วเข้าใจ นำไปใช้ต่อได้
2,รู้สึกสามารถสอนได้ แต่การควบคุมชั้นเรียนหรือทำให้นักเรียนทุกคนในห้องสนใจเป็นเรื่องยาก และไม่อยากทำ ถ้าเด็กไม่อยากเรียน ไม่ได้อยากได้ความรู้ การสอนไปเป็นเรื่องเปล่าประโยชน์
3,ได้รับ feedback จากนักเรียนว่าชอบเรียนกับเรา เราทำให้ภาษาอังกฤษเป็นเรื่องง่ายสำหรับเขา เนื่องจากสอน ม.5 และ ม.6 อยู่ในวัยที่กำลังจะเรียนต่อมหาลัย มีหลายคนที่เลือกเรียนครูเอกภาษาอังกฤษแล้วบอกว่ามีเราเป็น inspiration ให้เขา
3,ยิ่งทำงานไปเรื่อย ๆ ยิ่งทำให้เจอในสิ่งที่ไม่รู้ สิ่งที่ควร upskill ไปเรื่อย ๆ หรือต้อง reskill บางเรื่องที่ไม่ค่อยได้ใช้
4,-
4,-
4,-
4,-
4,-
4,-
4,:
5,เพราะรู้สึกว่าตัวเองสามารถขวนขวายหาความรู้ใหม่ๆ มาตอบสนองตัวเองและสามารถส่งต่อความรู้ที่คิดว่ามีประโยชน์ได้
5,ฉันสามารถสอนนักเรียน และทำงานที่ได้รับมอบหมายได้อย่างดี
5,บางงานก็ทำได้ดี บางงานก็ทำไปแบบงงๆ
5,มีความรู้ ทักษะในวิชาเอกที่สามารถถ่ายทอดและพัฒนาผู้เรียนได้
5,ค่าใช้จ่ายส่วนที่ออกให้นักเรียนเอง มีส่วนทำให้ความพอเพียงอาจไม่ค่อยดี
5,สามารถถ่ายทอดความรู้ได้ดี แต่ก็ยังมีเนื้อหาบางส่วนที่ไม่ได้สอนและยังไม่เข้าใจ
5,จัดกิจกรรมการสอน และฝึกซ้อมเด็กเพื่อแข่งขันได้
5,มีความรู้ในวิชาเอกและด้านการสอน แต่ยังต้องพัฒนายิ่งขึ้นไปอีก
5,สามารถออกแบบการสอนที่พัฒนานักเรียนและนักเรียนให้ความสนใจ วัดจากคะแนนความรู้และทัศนคติที่ดีขึ้นของนักเรียน
5,รู้สึกไม่อยากทำงานในระบบ ไม่มีเเรงจูงใจ
5,ฉันรักอาชีพครูนะ แต่ยังรู้สึกว่าตัวเองยังสอนได้ไม่ดีเท่าที่ควร
5,ยังไม่เพียงพอ ต้องพัฒนาตนเองเพิ่ม
5,นักเรียนบอกว่าเข้าใจ และส่วนใหญ่ชอบเรียนกับเรา
5,พอใจ มีความสุขมากค่ะ
5,ยังคงต้องพัฒนาทักษะให้ทันสมัยอยู่เสมอ เพื่อให้ทันต่อการเรียนที่รวดเร็วในปัจจุบัน
5,จากการประเมินผลงานและภาระงานต่างๆ ยังคงทำตามมาตรฐานที่สถานศึกษากำหนดและผลสัมฤทธิ์ทางการเรียนของผู้เรียนยังคงเทียบเท่ากับการศึกษาในโรงเรียนชั้นนำของโลก
5,ทำงานคล้ายเดิม ในแต่ละปี
