id,seef,motiv,eff
1,5.759946987,5.472300562,39
2,3.77738844,3.966360787,28
3,5.445539922,4.874800021,41
4,13.53135917,5.928662739,40
5,9.494674718,5.868339648,38
6,2.341611709,4.150825396,31
7,1.020329511,4.613363546,20
8,4.560071037,4.023836429,33
9,11.3150988,5.33954366,42
10,7.170716474,3.440924836,61
11,3.193979053,2.370674558,33
12,9.528938271,6.469812282,33
13,5.466518445,7.273472913,24
14,1.517286003,4.54496646,23
15,7.844769817,5.761102487,41
16,12.09657124,4.992497216,47
17,7.737873193,6.4743138,30
18,6.768001485,5.554143933,36
19,3.375027486,5.203663965,27
20,8.273594123,3.200863548,62
21,1.71771786,6.082955681,19
22,0.612596098,4.649146385,32
23,5.826588926,3.596509915,39
24,5.861625977,4.798203335,42
25,15.46022213,4.87322184,48
26,1.134610768,6.059206873,30
27,6.683625293,3.832603968,47
28,9.220212374,4.442356373,40
29,10.20237138,6.488119928,27
30,5.957102061,6.358665769,30
31,3.026975434,6.163214544,33
32,5.736863793,6.661523945,24
33,13.75902397,5.20403098,49
34,7.930956033,4.418116313,51
35,2.17790829,5.555204062,21
36,11.69383651,6.058723126,42
37,8.162010644,7.413633271,26
38,5.865712913,3.035017667,38
39,5.928545516,5.273235703,30
40,5.400841121,5.654794583,35
41,7.026237924,4.945401345,39
42,3.984532268,3.442177752,41
43,7.108045007,5.741500892,31
44,2.274575901,4.220914259,18
45,6.800587501,5.505861499,40
46,10.42734968,5.907551706,34
47,8.036824455,6.28395701,32
48,10.13499871,3.442136203,67
49,1.636524953,6.081741848,24
50,6.219171138,4.243018643,47
51,8.469001211,3.710980526,44
52,1.727980529,6.314320666,31
53,12.26325735,6.146259973,38
54,1.860767956,4.757416732,22
55,6.658074834,5.759540706,26
56,6.607329321,4.139674259,41
57,6.486681208,4.848968421,38
58,5.158301665,4.906276766,35
59,7.799747149,4.719259945,44
60,1.875342032,5.734098736,24
61,0.842543247,6.537327535,23
62,3.381725448,4.544228937,31
63,5.770703585,4.967341548,32
64,11.02699128,6.636757349,36
65,12.34981656,4.670958029,54
66,7.27792585,2.395961829,50
67,7.526366491,5.513983786,26
68,5.025420465,4.113531989,33
69,6.192212336,4.001461594,50
70,0.381816556,6.420816814,22
71,7.159734916,7.447998007,20
72,3.857785671,3.960217459,36
73,7.338715092,6.031025182,34
74,4.616074643,4.905852162,36
75,3.353537061,5.141807459,28
76,5.123554493,6.222236701,35
77,4.532380357,5.213674518,25
78,10.37831283,4.148634646,53
79,6.83683233,4.529591125,36
80,7.729965705,5.686135255,38
81,1.036585657,2.664052668,22
82,11.98728684,6.095244382,42
83,6.637481765,3.432849901,55
84,2.574874386,5.021931063,28
85,7.236186582,4.809641022,36
86,9.481736119,6.293069486,28
87,0.465291447,5.188849315,22
88,12.76042788,5.101939135,49
89,5.367877179,5.698135809,41
90,10.48468312,4.172985444,47
91,6.289045276,4.804101144,31
92,4.670308622,6.177584414,27
93,1.339680187,5.683473621,28
94,1.599311126,3.724503293,29
95,5.8346388,5.637956367,28
96,9.31141018,3.622410375,54
97,1.526714617,4.401689196,24
98,11.50176445,6.210920384,41
99,11.59596186,2.748954825,77
100,1.426734976,3.220985809,22
