"stu_id","major.y.x","practice","quiz1_7.5","quiz2_7.5","quiz3_15","percent_answer_inclass","avg_time_useanswer_inclass","avg_time_beginanswer_inclass","percent_correct_inclass","percent_attend","percent_late_inclass","bringbook","percent_goout","time_do_homework1","percent_time_start1","time_do_homework2","percent_time_start2","late_assignment","incomplete_assignment","grade"
1,"MA","some_practice",2,2.3,6.1,0,0,0,0,1,0.454545454545455,0,0,9,0.838394892840857,NA,NA,"ontime","complete","not success"
2,"MA","no_pratice",0.2,0.6,3.2,1,1.625,1.1,0.833333333333333,1,0.272727272727273,0.363636363636364,0.181818181818182,40,0.806475148198814,424,0.920059790732436,"ontime","complete","not success"
3,"MA","no_pratice",0.7,2.3,6.6,1,1.49722222222222,1.28611111111111,1,1,0,0,0,26,0.82781577747378,7,0.891659192825112,"ontime","complete","not success"
4,"MA","some_practice",3.8,4.7,6.7,1,1.33888888888889,1.29166666666667,0.833333333333333,1,0.181818181818182,0,0.0909090909090909,17,0.858002735978112,15,0.82050822122571,"ontime","complete","success"
5,"MA","no_pratice",0,1.5,4,1,1.76944444444444,1.06666666666667,0.666666666666667,1,0.272727272727273,0,0,10,0.99233926128591,7,0.996233183856502,"late","complete","not success"
6,"MA","many_practice",6.9,6.7,12.5,1,1.65,0.702777777777777,0.666666666666667,1,0.363636363636364,0,0,93,0.982854537163703,49,0.811599402092676,"ontime","complete","success"
7,"MA","no_pratice",0.4,1.8,4,1,1.33611111111111,1.22777777777778,1,1,0.181818181818182,0,0,56,0.807569539443684,280,0.725381165919282,"ontime","complete","not success"
8,"MA","no_pratice",0.3,2.1,1.6,1,1.56111111111111,0.569444444444445,0.666666666666667,0.909090909090909,0.181818181818182,0,0.0909090909090909,4244,0.461012311901505,7187,0.481554559043348,"ontime","incomplete","fail"
9,"MA","no_pratice",5.1,5.4,9.8,1,1.52777777777778,0.969444444444445,0.833333333333333,1,0.181818181818182,0,0,63,0.816507067943456,10,0.909476831091181,"ontime","complete","success"
10,"MA","many_practice",3.8,6.1,5,1,1.54166666666667,1.26111111111111,0.5,1,0.454545454545455,0,0,60,0.815047879616963,47,0.877070254110613,"ontime","complete","success"
11,"MA","no_pratice",0,0.6,1.6,1,1.49444444444444,1.13888888888889,0.5,0.909090909090909,0.181818181818182,0.181818181818182,0.363636363636364,NA,NA,NA,NA,"late","complete","fail"
