"student_id","choose_method","concepts","interpretation","submit_time","percent_submit","assignment_score","cheat_index"
"student_1",60,57.1428571428571,56.25,156.411596250004,66.6666666666667,95,0.914335838589168
"student_2",40,57.1428571428571,31.25,145.084064305557,100,73.3333333333333,0.593489471925322
"student_3",30,75,55.5555555555556,145.924163472222,100,82.5,1
"student_4",40,58.3333333333333,55.5555555555556,128.120024097214,100,73.75,0.515980001512471
"student_5",60,58.3333333333333,38.8888888888889,139.814839305563,100,78.75,0.641961585879126
"student_6",30,25,33.3333333333333,158.800846666661,100,78.75,0.999786021615218
"student_7",20,25,66.6666666666667,85.4750065972242,75,68.3333333333333,1
"student_8",30,41.6666666666667,33.3333333333333,157.275608749986,100,80,0.99799190382215
"student_9",70,58.3333333333333,50,158.543805486113,100,75.1785714285714,0.841244302161078
"student_10",50,50,38.8888888888889,154.854096180548,100,63.75,0.837343518820123
"student_11",30,41.6666666666667,44.4444444444444,140.517740763873,50,55,0.649900976901746
"student_12",20,66.6666666666667,27.7777777777778,152.454920555535,100,55,0.913694435718047
"student_13",50,25,27.7777777777778,143.050383750018,100,85,1
"student_14",30,33.3333333333333,27.7777777777778,159.438095833328,87.5,81.4285714285714,0.986961567919026
"student_15",50,58.3333333333333,33.3333333333333,111.020036527779,87.5,83.3333333333333,1
"student_16",70,50,44.4444444444444,156.529065555533,100,82.5,0.889459871152952
"student_17",50,25,27.7777777777778,143.693896388892,50,80,0.528408694179327
"student_18",30,58.3333333333333,55.5555555555556,157.007262569451,100,85,0.906664665839145
"student_19",60,41.6666666666667,38.8888888888889,99.7329918749962,100,65.3571428571429,0.77272558753268
"student_20",30,50,38.8888888888889,118.313038472235,100,78.75,0.526122323177579
"student_21",40,50,38.8888888888889,151.038288402773,100,85,0.83671143483442
"student_22",20,50,44.4444444444444,153.392371458312,100,80,0.691218230579513
"student_23",20,41.6666666666667,50,122.250289513883,100,68.75,0.999569483832931
"student_24",50,58.3333333333333,33.3333333333333,128.232301111105,100,78.75,0.830630491637894
"student_25",20,50,16.6666666666667,148.9235022222,100,66.25,0.666615399927154
"student_26",40,42.8571428571429,50,141.084200624989,100,93.2142857142857,0.839402702742112
"student_27",20,50,43.75,150.268532361123,88.8888888888889,90,0.866495777681389
"student_28",10,21.4285714285714,50,129.168809652776,100,95,0.997985457300586
"student_29",20,42.8571428571429,75,161.856470416652,100,80,0.60530734058879
"student_30",20,64.2857142857143,56.25,130.175907916658,100,78.3333333333333,0.555723311574741
"student_31",40,57.1428571428571,50,88.56262722224,100,74.5833333333333,0.737306264326136
"student_32",50,64.2857142857143,62.5,129.655716250009,100,85,0.538709775604348
"student_33",60,42.8571428571429,56.25,108.77881131947,100,80,0.584340488248812
"student_34",20,57.1428571428571,37.5,124.55432180557,100,92.5,0.983554000094391
"student_35",40,50,56.25,98.9619413194392,100,90,0.970826810828894
"student_36",40,50,43.75,138.274141944448,100,77.5,1
"student_37",30,85.7142857142857,56.25,115.178135000004,100,90,0.984807424894974
"student_38",50,35.7142857142857,37.5,145.028544027772,88.8888888888889,95,0.868963403657985
"student_39",10,57.1428571428571,53.3333333333333,127.673802013877,100,95,0.936028086596471
"student_40",60,57.1428571428571,50,155.121515416669,88.8888888888889,69.4444444444444,0.461916274393336
