"student_id","hw1","hw2","hw3","hw4","hw5","hw6","hw7","hw8"
66666666,0,0,0,1,0,0,0,0
54546446,1,0,0,0,0,0,0,0
54252182,0,1,0,0,0,0,0,0
44331592,0,0,0,0,0,1,0,0
44253272,1,1,1,1,1,1,1,1
44253102,1,0,1,1,1,1,1,1
44253042,1,1,1,1,1,1,1,1
44252992,1,1,1,1,1,1,1,1
44252822,1,1,1,1,1,1,1,1
44252762,1,1,1,1,1,1,1,1
44252602,1,1,1,1,1,1,1,1
44252537,0,1,0,0,0,0,0,0
44252532,1,0,1,1,1,1,1,1
44252472,1,1,1,1,0,1,1,1
44252302,1,1,1,1,1,1,1,1
44252182,1,0,1,1,1,1,1,1
44252012,1,1,1,1,1,1,0,0
44251962,1,1,1,1,1,0,1,1
44251802,1,1,1,1,1,1,1,1
44251732,1,1,1,1,1,1,1,1
44251672,1,1,1,1,1,1,1,1
44251502,1,1,1,1,1,1,1,1
44251442,1,1,1,1,1,1,1,1
44251382,1,1,1,1,1,1,1,1
44251212,1,1,1,1,1,1,1,1
44251092,1,1,1,1,1,1,1,1
44250932,1,1,1,1,1,1,1,1
44250872,1,1,1,1,1,1,1,1
44250702,1,1,1,1,1,1,1,1
44250582,1,1,1,1,1,1,1,1
44250412,1,1,1,1,1,1,1,1
44250352,0,1,1,0,0,0,0,0
44250292,1,1,1,1,1,1,1,1
44242172,1,1,1,1,1,1,1,1
44242002,1,1,1,1,1,1,1,1
44241952,1,1,1,1,1,1,1,1
44241892,1,1,1,1,1,1,1,1
44241722,1,1,0,1,1,1,1,1
44241662,0,1,0,0,0,0,1,0
44241502,1,1,1,1,1,1,1,1
44241372,1,1,0,1,1,1,1,1
44241142,1,1,1,1,1,1,1,1
44241082,1,1,1,1,1,1,1,1
44240922,1,1,1,1,1,1,1,1
44240862,1,1,1,1,1,1,1,1
44240702,1,1,1,1,1,1,1,0
44240632,1,1,1,1,1,1,1,1
44240572,0,1,0,0,0,0,0,0
44240402,1,0,1,0,1,1,1,1
44240342,1,0,1,1,1,1,1,1
44240112,1,1,1,1,1,1,1,1
