Department,PreKnowledge,Concepts,Interpret,ChooseMethod,StatSubmitTime,StatPercentSubmit,StatLearnPerform,StatCheatBehav,ResMidterm,ResAssignment,ResParticipate,ResFinalScore
ไทยสังคม,57.79761904666666,57.14285714,56.25,60,156.4115963,66.66666667,95,0.914335839,15.25,3.928571429,4.090909091,58.75
ภาษาอังกฤษ,42.79761904666666,57.14285714,31.25,40,145.0840643,100,73.33333333,0.593489472,13.75,5,5,58.75
การศึกษาปฐมวัย,53.51851852000001,75,55.55555556,30,145.9241635,100,82.5,1,18.75,4.642857143,4.545454545,73.75
การศึกษาปฐมวัย,51.29629629666667,58.33333333,55.55555556,40,128.1200241,100,73.75,0.515980002,12.5,3.928571429,4.545454545,43.75
การศึกษาปฐมวัย,52.407407406666664,58.33333333,38.88888889,60,139.8148393,100,78.75,0.641961586,18,5,4.545454545,67.5
การศึกษาปฐมวัย,29.444444443333335,25,33.33333333,30,158.8008467,100,78.75,0.999786022,13.25,3.214285714,3.636363636,50
การศึกษาปฐมวัย,37.22222222333333,25,66.66666667,20,85.4750066,75,68.33333333,1,13.125,0.714285714,4.545454545,53.75
การศึกษาปฐมวัย,35,41.66666667,33.33333333,30,157.2756087,100,80,0.997991904,15.25,3.571428571,4.545454545,55.00000000000001
การศึกษาปฐมวัย,59.44444444333334,58.33333333,50,70,158.5438055,100,75.17857143,0.841244302,14.875,4.285714286,4.545454545,56.25
การศึกษาปฐมวัย,46.29629629666667,50,38.88888889,50,154.8540962,100,63.75,0.837343519,16.25,5,5,65
การศึกษาปฐมวัย,38.70370370333333,41.66666667,44.44444444,30,140.5177408,50,55,0.649900977,10.25,1.428571429,4.090909091,48.75
การศึกษาปฐมวัย,38.14814815,66.66666667,27.77777778,20,152.4549206,100,55,0.913694436,16.625,5,5,65
การศึกษาปฐมวัย,34.25925926,25,27.77777778,50,143.0503838,100,85,1,16.625,5,4.545454545,65
การศึกษาปฐมวัย,30.37037037,33.33333333,27.77777778,30,159.4380958,87.5,81.42857143,0.986961568,13,3.571428571,4.090909091,51.24999999999999
การศึกษาปฐมวัย,47.22222222,58.33333333,33.33333333,50,111.0200365,87.5,83.33333333,1,15.25,4.285714286,4.545454545,56.25
การศึกษาปฐมวัย,54.81481481333333,50,44.44444444,70,156.5290656,100,82.5,0.889459871,12.5,4.642857143,5,45
การศึกษาปฐมวัย,34.25925926,25,27.77777778,50,143.6938964,50,80,0.528408694,11.25,4.285714286,4.545454545,41.24999999999999
การศึกษาปฐมวัย,47.96296296333333,58.33333333,55.55555556,30,157.0072626,100,85,0.906664666,16.5,2.857142857,2.727272727,66.25
การศึกษาปฐมวัย,46.85185185333333,41.66666667,38.88888889,60,99.73299187,100,65.35714286,0.772725588,17.25,3.928571429,5,62.5
การศึกษาปฐมวัย,39.629629630000004,50,38.88888889,30,118.3130385,100,78.75,0.526122323,17,3.928571429,4.090909091,62.5
