"project_score","define_var","stat_concept","failures","romantic","studytime","traveltime","freetime","activities","Walc","residence_type","famrel","goout","internet","guardian","health","absences"
11,0,11,0,"no",2,2,3,"no",1,"campus_dorm",4,4,"no","mother",3,4
11,9,11,0,"no",2,1,3,"no",1,"campus_dorm",5,3,"yes","father",3,2
12,12,13,0,"no",2,1,3,"no",3,"campus_dorm",4,2,"yes","mother",3,6
14,14,14,0,"yes",3,1,2,"yes",1,"campus_dorm",3,2,"yes","mother",5,0
13,11,13,0,"no",2,1,3,"no",2,"campus_dorm",4,2,"no","father",5,0
13,12,12,0,"no",2,1,4,"yes",2,"campus_dorm",5,2,"yes","mother",5,6
13,13,12,0,"no",2,1,4,"no",1,"campus_dorm",4,4,"yes","mother",3,0
13,10,13,0,"no",2,2,1,"no",1,"campus_dorm",4,4,"no","mother",1,2
17,15,16,0,"no",2,1,2,"no",1,"campus_dorm",4,2,"yes","mother",1,0
13,12,12,0,"no",2,1,5,"yes",1,"campus_dorm",5,1,"yes","mother",5,0
14,14,14,0,"no",2,1,3,"no",2,"campus_dorm",3,3,"yes","mother",2,2
13,10,12,0,"no",3,3,2,"yes",1,"campus_dorm",5,2,"yes","father",4,0
12,12,13,0,"no",1,1,3,"yes",3,"campus_dorm",4,3,"yes","father",5,0
13,12,12,0,"no",2,2,4,"no",2,"campus_dorm",5,3,"yes","mother",3,0
15,14,14,0,"yes",3,1,5,"no",1,"campus_dorm",4,2,"yes","other",3,0
17,17,17,0,"no",1,1,4,"no",2,"campus_dorm",4,4,"yes","mother",2,6
14,13,13,0,"no",3,1,2,"yes",2,"campus_dorm",3,3,"yes","mother",2,10
14,13,14,0,"no",2,3,3,"yes",1,"campus_dorm",5,2,"no","mother",4,2
7,8,8,3,"no",1,1,5,"yes",4,"campus_dorm",5,5,"yes","mother",5,2
12,12,12,0,"no",1,1,1,"yes",3,"campus_dorm",3,3,"yes","father",5,6
14,12,13,0,"no",2,1,4,"no",1,"campus_dorm",4,1,"yes","mother",1,0
12,11,12,0,"no",1,1,4,"no",1,"campus_dorm",5,2,"yes","father",5,0
14,12,13,0,"no",2,1,5,"yes",3,"campus_dorm",4,1,"yes","mother",5,0
10,10,10,0,"no",2,2,4,"yes",4,"campus_dorm",5,4,"yes","mother",5,2
10,10,11,0,"no",3,1,3,"yes",1,"off_campus",4,2,"yes","mother",5,2
12,10,11,0,"no",1,1,2,"no",3,"campus_dorm",1,2,"yes","mother",5,6
12,11,12,0,"no",1,1,2,"no",2,"campus_dorm",4,2,"yes","mother",5,8
11,11,11,0,"no",1,1,2,"no",4,"campus_dorm",2,4,"yes","mother",1,0
13,12,12,0,"no",2,1,3,"yes",1,"campus_dorm",5,3,"yes","mother",5,2
12,12,11,0,"yes",2,1,4,"yes",5,"campus_dorm",4,5,"yes","mother",5,4
11,10,11,0,"no",2,1,4,"no",4,"campus_dorm",5,2,"yes","mother",5,0
15,15,15,0,"no",2,2,3,"yes",1,"campus_dorm",4,1,"yes","mother",5,2
15,13,14,0,"yes",2,1,5,"yes",1,"off_campus",4,2,"yes","mother",5,0
12,13,12,0,"no",2,1,3,"yes",1,"campus_dorm",5,2,"yes","mother",2,0
12,12,12,0,"no",1,1,4,"no",1,"campus_dorm",5,3,"yes","mother",5,4
11,11,11,0,"no",1,2,5,"yes",1,"campus_dorm",3,1,"no","father",5,4
14,14,14,0,"no",3,1,4,"yes",1,"campus_dorm",5,3,"yes","mother",4,0
13,13,13,0,"yes",3,2,4,"yes",1,"off_campus",2,3,"yes","mother",5,4
12,11,12,0,"no",3,1,3,"yes",1,"off_campus",4,2,"yes","mother",5,2
12,14,13,0,"no",1,1,3,"yes",1,"off_campus",4,1,"no","mother",2,8
10,11,11,0,"yes",2,2,3,"yes",2,"campus_dorm",3,3,"yes","mother",3,16
11,10,11,0,"yes",1,1,4,"no",4,"campus_dorm",5,3,"yes","other",5,8
15,14,15,0,"no",2,1,3,"yes",1,"campus_dorm",4,3,"yes","father",5,0
10,9,10,0,"no",1,1,4,"no",1,"campus_dorm",5,1,"yes","father",1,0
11,10,11,1,"no",2,2,3,"yes",2,"campus_dorm",4,3,"yes","father",5,14
