Timestamp,student_id,ตอนเรียน,ท่านคิดว่าการประเมินผลที่มีประสิทธิภาพควรเกิดขึ้นเมื่อไหร่?
2025-09-01T13:04:24Z,student1,ตอนเรียน 5,C. หลังจากเสร็จสิ้นการเรียนรู้
2025-09-01T13:04:24Z,student2,ตอนเรียน 3,"D. ทั้ง A, B, และ C"
2025-09-01T13:04:32Z,student3,ตอนเรียน 5,"D. ทั้ง A, B, และ C"
2025-09-01T13:04:37Z,student4,ตอนเรียน 6,C. หลังจากเสร็จสิ้นการเรียนรู้
2025-09-01T13:04:49Z,student5,ตอนเรียน 5,"D. ทั้ง A, B, และ C"
2025-09-01T13:04:49Z,student6,ตอนเรียน 6,"D. ทั้ง A, B, และ C"
2025-09-01T13:04:51Z,student7,ตอนเรียน 5,"D. ทั้ง A, B, และ C"
2025-09-01T13:05:00Z,student8,ตอนเรียน 3,"D. ทั้ง A, B, และ C"
2025-09-01T13:05:10Z,student9,ตอนเรียน 5,"D. ทั้ง A, B, และ C"
2025-09-01T13:05:26Z,student10,ตอนเรียน 5,"D. ทั้ง A, B, และ C"
2025-09-01T13:05:33Z,student11,ตอนเรียน 6,"D. ทั้ง A, B, และ C"
2025-09-01T13:05:39Z,student12,ตอนเรียน 6,"D. ทั้ง A, B, และ C"
2025-09-01T13:05:48Z,student13,ตอนเรียน 5,"D. ทั้ง A, B, และ C"
2025-09-01T13:05:55Z,student14,ตอนเรียน 5,"D. ทั้ง A, B, และ C"
2025-09-01T13:06:00Z,student15,ตอนเรียน 6,"D. ทั้ง A, B, และ C"
2025-09-01T13:06:21Z,student16,ตอนเรียน 5,C. หลังจากเสร็จสิ้นการเรียนรู้
2025-09-01T13:06:30Z,student17,ตอนเรียน 6,A. ก่อนเริ่มการเรียนรู้
2025-09-01T13:07:13Z,student18,ตอนเรียน 7,"D. ทั้ง A, B, และ C"
2025-09-01T13:08:58Z,student19,ตอนเรียน 7,"D. ทั้ง A, B, และ C"
2025-09-01T13:27:50Z,student20,ตอนเรียน 6,"D. ทั้ง A, B, และ C"
