Timestamp,student_id,1. ส่วนใดของ Responsive Assessment ที่ท่านคิดว่าจะท้าทายที่สุดในการนำไปใช้? (เลือกได้มากกว่า 1 ข้อ),2. เรียนถึงตอนนี้นิสิตมั่นใจแค่ไหนในการอธิบายความหมายของ responsive assessment,3. ขอ 3 คำสำคัญเกี่ยวกับ responsive assessment,4. ข้อใดไม่ใช่ลักษณะของ responsive assessment
2025-09-01T13:48:38Z,student17,"การเรียนรู้เครื่องมือใหม่ ๆ, ขาดทักษะการใช้เทคโนโลยีและเครื่องมือดิจิทัล, กังวลว่าจะใช้ข้อมูลผิด",3,ยากจังเลย,B) รอประเมินทีเดียวตอนจบหน่วย
2025-09-01T13:49:15Z,student13,"การเรียนรู้เครื่องมือใหม่ ๆ, ไม่มีเวลาวิเคราะห์ข้อมูลระหว่างสอน, ไม่มั่นใจในการตีความและวิเคราะห์ข้อมูล, กังวลว่าจะใช้ข้อมูลผิด, ความไม่พร้อมของนักเรียน, ความยากในการเปลี่ยนแปลงวิธีการสอนเดิม, ความกังวลเรื่องความเป็นส่วนตัวและ PDPA",3,Feedback adaptation Engagement,B) รอประเมินทีเดียวตอนจบหน่วย
2025-09-01T13:49:19Z,student10,"ขาดทักษะการใช้เทคโนโลยีและเครื่องมือดิจิทัล, กังวลว่าจะใช้ข้อมูลผิด, ความยากในการเปลี่ยนแปลงวิธีการสอนเดิม",4,"การประเมินตลอดการเเรียนรู้,มีส่วนร่วม,นำไปวิเคราะห์ใช้ได้จริง",B) รอประเมินทีเดียวตอนจบหน่วย
2025-09-01T13:49:36Z,student1,ความไม่พร้อมของนักเรียน,5,นำทางลึก,B) รอประเมินทีเดียวตอนจบหน่วย
2025-09-01T13:49:55Z,student15,"ไม่มีเวลาวิเคราะห์ข้อมูลระหว่างสอน, ขาดทักษะการใช้เทคโนโลยีและเครื่องมือดิจิทัล, ความยากในการเปลี่ยนแปลงวิธีการสอนเดิม, ความกังวลเรื่องความเป็นส่วนตัวและ PDPA",3,การปรับการสอน การมีส่วนร่วมของผู้เรียน feedback,B) รอประเมินทีเดียวตอนจบหน่วย
2025-09-01T13:50:10Z,student9,"ไม่มีเวลาวิเคราะห์ข้อมูลระหว่างสอน, ขาดทักษะการใช้เทคโนโลยีและเครื่องมือดิจิทัล, กังวลว่าจะใช้ข้อมูลผิด",3,1.ปรับตามผู้เรียน 2.ตอบสนองทันที 3.มีปฏิสัมพันธ์,B) รอประเมินทีเดียวตอนจบหน่วย
2025-09-01T13:50:17Z,student7,"ไม่มีเวลาวิเคราะห์ข้อมูลระหว่างสอน, กังวลว่าจะใช้ข้อมูลผิด, ความยากในการเปลี่ยนแปลงวิธีการสอนเดิม",3,"ข้อมูลหลักฐาน , ปรับการสอน , การมีส่วนร่วม",B) รอประเมินทีเดียวตอนจบหน่วย
2025-09-01T13:50:19Z,student20,"การเรียนรู้เครื่องมือใหม่ ๆ, ขาดทักษะการใช้เทคโนโลยีและเครื่องมือดิจิทัล, กังวลว่าจะใช้ข้อมูลผิด, ความไม่พร้อมของนักเรียน",4,การเรียนรู้,B) รอประเมินทีเดียวตอนจบหน่วย
2025-09-01T13:50:20Z,student3,"ไม่มีเวลาวิเคราะห์ข้อมูลระหว่างสอน, ขาดทักษะการใช้เทคโนโลยีและเครื่องมือดิจิทัล, ไม่มั่นใจในการตีความและวิเคราะห์ข้อมูล, โครงสร้างพื้นฐานไม่เอื้อ (เช่น internet หรืออุปกรณ์)",3,"Adaptation , Feedback , Evidence",B) รอประเมินทีเดียวตอนจบหน่วย
2025-09-01T13:50:22Z,student8,"ไม่มั่นใจในการตีความและวิเคราะห์ข้อมูล, กังวลว่าจะใช้ข้อมูลผิด, ความไม่พร้อมของนักเรียน, ความยากในการเปลี่ยนแปลงวิธีการสอนเดิม, ความกังวลเรื่องความเป็นส่วนตัวและ PDPA",2,เน้นการรับรู้ร่วม อาศัยการตีความ เป็นธรรมชาติ,A) ตัดสินใจการให้ข้อมูลป้อนกลับ/การสนับสนุนนักเรียนจากหลักฐานระหว่างเรียน
2025-09-01T13:50:25Z,student2,"ไม่มีเวลาวิเคราะห์ข้อมูลระหว่างสอน, ไม่มั่นใจในการตีความและวิเคราะห์ข้อมูล, กังวลว่าจะใช้ข้อมูลผิด, ความไม่พร้อมของนักเรียน",3,"Feedback, Adaptation, Learner-centered",B) รอประเมินทีเดียวตอนจบหน่วย
2025-09-01T13:50:39Z,student5,"การเรียนรู้เครื่องมือใหม่ ๆ, ขาดทักษะการใช้เทคโนโลยีและเครื่องมือดิจิทัล, กังวลว่าจะใช้ข้อมูลผิด, ความยากในการเปลี่ยนแปลงวิธีการสอนเดิม, ความกังวลเรื่องความเป็นส่วนตัวและ PDPA",3,หลายวิธี,A) ตัดสินใจการให้ข้อมูลป้อนกลับ/การสนับสนุนนักเรียนจากหลักฐานระหว่างเรียน
2025-09-01T13:50:43Z,student19,"ไม่มีเวลาวิเคราะห์ข้อมูลระหว่างสอน, ขาดทักษะการใช้เทคโนโลยีและเครื่องมือดิจิทัล, ไม่มั่นใจในการตีความและวิเคราะห์ข้อมูล, กังวลว่าจะใช้ข้อมูลผิด",3,การสังเกต การปรับเปลี่ยน สะท้อนผล,D) หลักฐานที่ได้สามารถนำไปใช้ปรับการสอนของครูได้จริง
2025-09-01T13:50:55Z,student12,"ไม่มีเวลาวิเคราะห์ข้อมูลระหว่างสอน, กังวลว่าจะใช้ข้อมูลผิด, ความยากในการเปลี่ยนแปลงวิธีการสอนเดิม",3,รวมรวม ตีความ ปรับการสอน,B) รอประเมินทีเดียวตอนจบหน่วย
2025-09-01T13:51:03Z,student11,"ไม่มีเวลาวิเคราะห์ข้อมูลระหว่างสอน, กังวลว่าจะใช้ข้อมูลผิด, ความยากในการเปลี่ยนแปลงวิธีการสอนเดิม",3,ปรับการสอน,B) รอประเมินทีเดียวตอนจบหน่วย
