Score,major,section,premath_ach,stat_att,study_hour,solve,Hash_Name
2,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 5,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,มากกว่า 2 ชั่วโมง,ค้นคว้าเองทาง internet,b00a9e12
7,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 5,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,มากกว่า 2 ชั่วโมง,ค้นคว้าเองทาง internet,b00a9e12
5,มัธยมศึกษา ภาษาอังกฤษ,ตอนเรียนที่ 1,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,"ใช้ Generative AI เช่น ChatGPT, Gemini",0347c219
3,สังคมศึกษา,ตอนเรียนที่ 7,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,10f597da
5,ภาษาอังกฤษ,ตอนเรียนที่ 1,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,ไม่ได้ทบทวน,ค้นคว้าเองทาง internet,52fcc65c
5,ภาษาอังกฤษ,ตอนเรียนที่ 1,ยังไม่เคยเรียนรายวิชาเกี่ยวกับสถิติมาก่อน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,ทบทวนหลาย ๆ  รอบ,5bf35127
5,ภาษาอังกฤษ,ตอนเรียนที่ 1,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,1b0d9e58
4,ภาษาอังกฤษ,ตอนเรียนที่ 1,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,18036d89
4,มัธยมศึกษา เอกวิทยาศาสตร์ทั่วไป,ตอนเรียนที่ 1,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,เฉย ๆ  เพราะยังไม่เคยเรียนมาก่อน,1-2 ชั่วโมง,ถามอาจารย์,255e25f2
4,สุขศึกษาเเละพลศึกษา,ตอนเรียนที่ 2,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,มากกว่า 2 ชั่วโมง,ถามอาจารย์,812958ac
6,สุขศึกษาเเละพลศึกษา,ตอนเรียนที่ 2,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,มากกว่า 2 ชั่วโมง,ถามอาจารย์,812958ac
5,มัธยมศึกษา (สังคมศึกษา),ตอนเรียนที่ 7,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,175b227f
5,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 5,ยังไม่เคยเรียนรายวิชาเกี่ยวกับสถิติมาก่อน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,a0ab1fd7
7,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 5,มีพื้นฐานน้อย,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,0f0684e4
3,การสอนสังคม,ตอนเรียนที่ 7,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,a1fa7c60
3,ประถมศึกษา,ตอนเรียนที่ 2,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,ไม่ได้ทบทวน,"ใช้ Generative AI เช่น ChatGPT, Gemini",3c266643
1,ประถมศึกษา,ตอนเรียนที่ 2,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,ถามอาจารย์,57aabc2a
5,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 4,ดี สามารถเข้าใจในเนื้อหารายวิชานี้ได้เป็นอย่างดี,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,"ใช้ Generative AI เช่น ChatGPT, Gemini",1d006a8d
6,ฟิสิกส์,ตอนเรียนที่ 3,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,มากกว่า 2 ชั่วโมง,ค้นคว้าเองทาง internet,7a53e43f
7,การศึกษานอกระบบ,ตอนเรียนที่ 3,ดี สามารถเข้าใจในเนื้อหารายวิชานี้ได้เป็นอย่างดี,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,"ใช้ Generative AI เช่น ChatGPT, Gemini",1d006a8d
6,ชีววิทยา,ตอนเรียนที่ 9,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,5fdfaf23
6,วิชาเอก,ตอนเรียนที่ 9,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,1-2 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,3e622adf
6,ชีววิทยา,ตอนเรียนที่ 9,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,มากกว่า 2 ชั่วโมง,"ใช้ Generative AI เช่น ChatGPT, Gemini",d5b01c65
6,ชีววิทยา,ตอนเรียนที่ 9,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,รู้สึกสนใจและคาดหวังว่าจะสนุก,1-2 ชั่วโมง,ค้นคว้าเองทาง internet,fadee495
4,การศึกษานอกระบบโรงเรียน,ตอนเรียนที่ 5,มีพื้นฐานน้อย,กังวลเพราะเคยมีประสบการณ์ที่ไม่ดีเกี่ยวกับสถิติ,น้อยกว่า 1 ชั่วโมง,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,9ece3c85
7,ประถมศึกษา,ตอนเรียนที่ 7,ปานกลาง พอมีพื้นฐานอยู่บ้าง แต่ยังต้องทบทวน,ไม่แน่ใจว่าจะสามารถเข้าใจเนื้อหาได้หรือไม่,ไม่ได้ทบทวน,พูดคุย ซักถามกับเพื่อน เพื่อช่วยกันทำความเข้าใจ,a5f3df16
