AMH,ASW,BJSW,CAN,CCQ,CSWJ,CW,CYSR,FR,IJSW,JGSW,JSP,JSWE,PW,SCW,SSR,SW,SWG,SWHC,SWRA
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
0,70,0,0,0,0,0,0,0,0,0,0,18,13,0,21,73,0,0,7
0,0,95,0,0,0,0,0,0,0,0,0,13,0,0,0,19,0,0,0
0,0,0,109,0,0,9,0,0,0,0,0,0,0,6,0,8,0,0,0
0,0,0,0,92,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,40,0,0,0,0,0,0,0,0,41,20,45,0,0,0
0,0,0,7,0,0,187,6,0,0,0,0,11,7,32,10,58,0,0,0
0,0,0,12,5,0,70,26,4,0,0,0,0,6,8,14,28,0,0,6
0,0,0,0,0,0,0,0,205,0,0,0,0,0,18,0,9,0,0,0
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,9,0,0,0,18,0,18,0,0,0
0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,7,0,0,0,0
0,9,0,0,0,0,0,0,0,0,0,0,104,0,18,16,58,0,7,16
0,0,0,7,0,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0
0,8,0,6,0,8,17,0,6,0,6,0,21,0,149,36,124,8,6,18
0,7,0,0,0,0,17,0,0,0,0,0,9,0,30,105,106,0,0,25
0,15,0,0,0,0,52,0,9,0,0,0,33,19,58,63,366,15,43,8
0,0,2,0,0,0,0,0,0,0,0,0,9,0,9,7,40,41,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,26,0,86,0
0,0,0,0,0,0,8,0,0,0,0,0,24,0,8,39,44,0,0,40
