ego_id,ego_name,alter_name1,alter_name2,alter_name3
1,b00a9e12,NA,NA,NA
2,0347c219,1495388e,323032c9,76816d6c
3,10f597da,NA,NA,NA
4,52fcc65c,fd942b7f,5bf35127,NA
5,5bf35127,fd942b7f,52fcc65c,6fb82ea3
6,1b0d9e58,6fb82ea3,4682baf9,fd942b7f
7,18036d89,979d533f,6fb82ea3,1b0d9e58
8,255e25f2,7fbdea12,9e221628,eecd3d7e
9,812958ac,f361bfb2,1dc1c8ab,158fefbc
10,175b227f,a59cb77e,9996af0f,fdbb4e13
11,a0ab1fd7,a2940de1,0f0684e4,abc357ab
12,0f0684e4,5bf18bbb,cdf63935,NA
13,a1fa7c60,8d932a68,0c244296,d7a76f3f
14,3c266643,0afd57f8,ad5a6ee9,7f44ac7b
15,57aabc2a,19563eeb,243dc4b4,94edcba8
16,1d006a8d,NA,NA,NA
17,7a53e43f,0c1013b6,NA,NA
18,5fdfaf23,baa113ec,baf5545e,6ad27f77
19,3e622adf,5fdfaf23,fadee495,8376e373
20,d5b01c65,fadee495,3e622adf,5fdfaf23
21,fadee495,5fdfaf23,3e622adf,8376e373
22,9ece3c85,e5edf935,1cda4f63,eef23ad6
23,a5f3df16,be29c7e0,b01d60f8,NA
24,faf01476,6bc107c0,2ce6fd0c,67933b91
25,afbb0555,NA,NA,NA
26,d1f6aac3,1d125364,d6b06f1c,2851677d
27,cdeb78f1,NA,NA,NA
28,23030ffc,d7a76f3f,c0bc6e8c,175b227f
29,815d7964,NA,NA,NA
30,2794ce50,aa158f1c,22aca1b2,19d771be
31,22aca1b2,aa158f1c,a2b3753a,74f31d87
32,3bfd8b1b,dd22b83e,351ff633,9f7f499f
33,9e221628,1e5224f1,5cfd7d88,NA
34,65adeb13,8376e373,3e622adf,2238d081
35,94d50ee8,NA,NA,NA
36,d6b06f1c,fd942b7f,1d125364,640c3cee
37,31fe6232,682fd806,bbc51403,2f1ae248
38,a65c59de,80f00e8a,6d840298,b7c8fb09
39,ba598990,6fa07692,80f00e8a,c5bffc17
40,d72ac526,1d125364,d6b06f1c,52fcc65c
41,0afd57f8,3c266643,dd22b83e,NA
42,14575e06,33052699,f0123e57,6b054aac
43,c5bffc17,80f00e8a,a65c59de,d83e5ed9
44,29987e18,80f00e8a,b7c8fb09,a65c59de
45,1d125364,d6b06f1c,fd942b7f,d1f6aac3
46,080c9072,366e17d7,82090c11,3c927d10
47,8b796fa7,795d0f73,be29c7e0,6b68ea52
48,6b68ea52,8b796fa7,2a84b026,d5abf614
